OldPacketNumber NewPacketNumber
63 15
97 17
177 19
200 20
288 22
329 23
336 24
474 27
498 28
589 29
792 33
840 36
879 37
1098 40
1114 41
1247 43
1416 45
1391 46
1466 48
1616 50
1676 52
1680 53
1725 55
1835 56
1880 57
1893 59
2005 61
2390 65
2429 66
2646 69
2716 71
2725 72
2751 73
2795 74
3178 78
3283 80
3749 84
3840 87
3907 88
3975 90
4139 93
4211 95
4380 98
4385 99
4602 101
4923 105
5050 106
5061 107
5494 113
5698 115
5691 116
5759 117
6156 121
6179 122
6145 123
6214 124
6274 126
6334 127
6397 128
6508 131
