pid,cpu,ts
424306, 6.8,1720210621262313065
424507, 5.2,1720210621262313065
424306, 5.8,1720210622421400309
424507, 4.5,1720210622421400309
424306, 5.1,1720210623581904417
424507, 3.8,1720210623581904417
424306, 4.5,1720210624759406749
424507,11.1,1720210624759406749
424306, 4.1,1720210625947570905
424507,13.8,1720210625947570905
424306, 3.4,1720210627124496872
424507,17.3,1720210627124496872
424306, 3.1,1720210628304960113
424507,19.9,1720210628304960113
424306, 2.9,1720210629488283495
424507,21.7,1720210629488283495
424306, 2.7,1720210630672077612
424507,23.2,1720210630672077612
424306, 2.5,1720210631857326565
424507,25.2,1720210631857326565
424306, 2.2,1720210633045806736
424507,26.1,1720210633045806736
424306, 2.1,1720210634238087125
424507,28.5,1720210634238087125
424306, 2.0,1720210635438098045
424507,30.5,1720210635438098045
424306, 1.9,1720210636626336653
424507,31.4,1720210636626336653
424306, 1.8,1720210637815542569
424507,32.0,1720210637815542569
424306, 1.7,1720210638999820977
424507,30.9,1720210638999820977
424306, 1.6,1720210640186627039
424507,31.2,1720210640186627039
424306, 1.5,1720210641370424002
424507,31.4,1720210641370424002
424306, 1.5,1720210642556446320
424507,31.6,1720210642556446320
424306, 1.4,1720210643747320715
424507,31.9,1720210643747320715
424306, 1.3,1720210644966290348
424507,31.2,1720210644966290348
424306, 1.3,1720210646164710075
424507,31.6,1720210646164710075
424306, 1.2,1720210647356917819
424507,32.0,1720210647356917819
424306, 1.2,1720210648553029025
424507,32.5,1720210648553029025
424306, 1.2,1720210649749218227
424507,32.8,1720210649749218227
424306, 1.1,1720210650938803848
424507,31.9,1720210650938803848
424306, 1.1,1720210652137144036
424507,32.1,1720210652137144036
424306, 1.0,1720210653338139830
424507,32.5,1720210653338139830
424306, 1.0,1720210654535937799
424507,32.9,1720210654535937799
424306, 1.0,1720210655734696255
424507,33.4,1720210655734696255
424306, 1.0,1720210656939514038
424507,33.0,1720210656939514038
424306, 0.9,1720210658140670564
424507,33.5,1720210658140670564
424306, 0.9,1720210659340540059
424507,34.0,1720210659340540059
424306, 0.9,1720210660545772152
424507,34.5,1720210660545772152
424306, 0.8,1720210661753743808
424507,35.1,1720210661753743808
424306, 0.8,1720210662959758843
424507,35.0,1720210662959758843
424306, 0.8,1720210664174934089
424507,35.5,1720210664174934089
424306, 0.8,1720210665384347877
424507,35.8,1720210665384347877
424306, 0.8,1720210666630032450
424507,36.2,1720210666630032450
424306, 0.7,1720210667837279553
424507,36.5,1720210667837279553
424306, 0.7,1720210669046264395
424507,36.0,1720210669046264395
424306, 0.7,1720210670256079990
424507,36.3,1720210670256079990
424306, 0.7,1720210671462571521
424507,36.4,1720210671462571521
424306, 0.7,1720210672667764070
424507,36.5,1720210672667764070
424306, 0.7,1720210673883408679
424507,36.6,1720210673883408679
424306, 0.6,1720210675098957408
424507,36.0,1720210675098957408
424306, 0.6,1720210676315336448
424507,36.3,1720210676315336448
424306, 0.6,1720210677529846824
424507,36.4,1720210677529846824
424306, 0.6,1720210678750196543
424507,36.6,1720210678750196543
424306, 0.6,1720210679964399200
424507,36.1,1720210679964399200
424306, 0.6,1720210681183278202
424507,36.3,1720210681183278202
424306, 0.6,1720210682400714141
424507,36.3,1720210682400714141
424306, 0.6,1720210683619335119
424507,36.4,1720210683619335119
424306, 0.5,1720210684840627201
424507,36.8,1720210684840627201
424306, 0.5,1720210686085008424
424507,36.6,1720210686085008424
424306, 0.5,1720210687318366141
424507,36.9,1720210687318366141
424306, 0.5,1720210688552731455
424507,37.1,1720210688552731455
