pid,cpu,ts
428396,14.0,1720210810553521401
428608,12.0,1720210810553521401
428396,10.5,1720210811712626086
428608, 8.0,1720210811712626086
428396, 8.4,1720210812881661917
428608, 6.5,1720210812881661917
428396, 6.0,1720210814080047230
428608,14.6,1720210814080047230
428396, 5.2,1720210815273337784
428608,20.2,1720210815273337784
428396, 4.6,1720210816464294699
428608,24.6,1720210816464294699
428396, 4.2,1720210817655058139
428608,27.7,1720210817655058139
428396, 3.8,1720210818848056260
428608,30.0,1720210818848056260
428396, 3.2,1720210820045743019
428608,29.0,1720210820045743019
428396, 3.0,1720210821240078018
428608,31.3,1720210821240078018
428396, 2.8,1720210822437262904
428608,34.2,1720210822437262904
428396, 2.6,1720210823636093878
428608,37.1,1720210823636093878
428396, 2.4,1720210824836858502
428608,39.1,1720210824836858502
428396, 2.2,1720210826028288815
428608,37.8,1720210826028288815
428396, 2.1,1720210827217966187
428608,38.3,1720210827217966187
428396, 2.0,1720210828405012440
428608,38.7,1720210828405012440
428396, 1.9,1720210829591416578
428608,38.8,1720210829591416578
428396, 1.8,1720210830780595961
428608,38.9,1720210830780595961
428396, 1.6,1720210831971772837
428608,37.3,1720210831971772837
428396, 1.6,1720210833165099260
428608,37.6,1720210833165099260
428396, 1.5,1720210834366547890
428608,37.9,1720210834366547890
428396, 1.5,1720210835555183386
428608,38.1,1720210835555183386
428396, 1.4,1720210836753186857
428608,38.3,1720210836753186857
428396, 1.3,1720210837954172194
428608,37.6,1720210837954172194
428396, 1.3,1720210839140450099
428608,37.8,1720210839140450099
428396, 1.2,1720210840330705364
428608,37.9,1720210840330705364
428396, 1.2,1720210841522288885
428608,38.0,1720210841522288885
428396, 1.2,1720210842711626487
428608,38.2,1720210842711626487
428396, 1.1,1720210843904399233
428608,38.6,1720210843904399233
428396, 1.1,1720210845092139895
428608,37.9,1720210845092139895
428396, 1.0,1720210846292286568
428608,38.3,1720210846292286568
428396, 1.0,1720210847486594152
428608,38.7,1720210847486594152
428396, 1.0,1720210848678463082
428608,39.1,1720210848678463082
428396, 1.0,1720210849889215846
428608,39.6,1720210849889215846
