pid,cpu,ts
346129,45.0,1720452404790549119
346129,23.5,1720452405983453715
346424, 7.0,1720452405983453715
346129,15.6,1720452407153159094
346424,13.0,1720452407153159094
346129,11.7,1720452408322310141
346424,15.6,1720452408322310141
346129, 9.4,1720452409483148580
346424,13.7,1720452409483148580
346129, 7.8,1720452410637626603
346424,11.0,1720452410637626603
346129, 5.8,1720452411783631873
346424, 7.8,1720452411783631873
346129, 5.2,1720452412933217355
346424, 7.0,1720452412933217355
346129, 4.7,1720452414089489683
346424, 6.2,1720452414089489683
346129, 4.2,1720452415255040773
346424, 5.6,1720452415255040773
