pid,cpu,ts
348737, 0.0,1720452424516113293
348737,43.0,1720452425716011671
349035, 0.0,1720452425716011671
348737,14.3,1720452426890907695
349035,12.0,1720452426890907695
348737,10.7,1720452428061879693
349035,15.0,1720452428061879693
348737, 8.6,1720452429234671093
349035,16.5,1720452429234671093
348737, 7.1,1720452430407905650
349035,17.2,1720452430407905650
348737, 6.1,1720452431578120757
349035,17.1,1720452431578120757
348737, 5.3,1720452432751047227
349035,17.1,1720452432751047227
348737, 4.3,1720452433924566275
349035,15.7,1720452433924566275
348737, 3.9,1720452435100004623
349035,17.2,1720452435100004623
348737, 3.5,1720452436281478362
349035,18.1,1720452436281478362
348737, 3.3,1720452437455643323
349035,19.0,1720452437455643323
348737, 3.0,1720452438624969994
349035,18.9,1720452438624969994
348737, 2.6,1720452439796170881
349035,17.3,1720452439796170881
348737, 2.5,1720452440966647243
349035,17.1,1720452440966647243
348737, 2.3,1720452442136454696
349035,16.8,1720452442136454696
348737, 2.2,1720452443308693754
349035,16.5,1720452443308693754
348737, 2.1,1720452444481175251
349035,16.4,1720452444481175251
348737, 2.0,1720452445665123588
349035,16.1,1720452445665123588
348737, 1.8,1720452446853630882
349035,15.3,1720452446853630882
348737, 1.7,1720452448025663378
349035,15.3,1720452448025663378
348737, 1.7,1720452449192695447
349035,15.2,1720452449192695447
348737, 1.6,1720452450366567725
349035,15.2,1720452450366567725
348737, 1.5,1720452451547309625
349035,15.1,1720452451547309625
348737, 1.5,1720452452718383009
349035,15.0,1720452452718383009
348737, 1.4,1720452453889589465
349035,14.3,1720452453889589465
348737, 1.3,1720452455059143919
349035,14.3,1720452455059143919
348737, 1.3,1720452456230879587
349035,14.3,1720452456230879587
348737, 1.3,1720452457405056167
349035,14.4,1720452457405056167
348737, 1.2,1720452458574885123
349035,14.5,1720452458574885123
348737, 1.2,1720452459731789533
349035,14.1,1720452459731789533
348737, 1.1,1720452460885810638
349035,13.3,1720452460885810638
