pid,cpu,ts
345588, 0.0,1721222955269445785
345588,44.0,1721222956388523066
345588,44.0,1721222956406443815
345588,22.0,1721222957547837061
345588,22.0,1721222957563825702
345935,21.0,1721222957547837061
345935,21.0,1721222957563825702
345588,11.0,1721222958730776202
345588,11.0,1721222958746945745
345935,13.6,1721222958730776202
345935,13.6,1721222958746945745
345588, 8.8,1721222959912783964
345588, 8.8,1721222959933906497
345935,16.2,1721222959912783964
345935,16.2,1721222959933906497
345588, 7.3,1721222961088713503
345935,17.0,1721222961088713503
345588, 7.3,1721222961116133623
345935,17.2,1721222961116133623
345588, 6.2,1721222962263327657
345935,17.1,1721222962263327657
345588, 6.2,1721222962293528216
345935,17.1,1721222962293528216
345588, 5.5,1721222963443512898
345935,17.4,1721222963443512898
345588, 5.5,1721222963471131493
345935,17.4,1721222963471131493
345588, 4.8,1721222964624378533
345935,18.0,1721222964624378533
345588, 4.8,1721222964654370397
345935,18.1,1721222964654370397
345588, 4.0,1721222965809914703
345935,17.0,1721222965809914703
345588, 4.0,1721222965838772868
345935,17.0,1721222965838772868
345588, 3.6,1721222966984947497
345935,16.9,1721222966984947497
345588, 3.6,1721222967013563334
345935,17.0,1721222967013563334
345588, 3.3,1721222968163547083
345935,16.7,1721222968163547083
345588, 3.3,1721222968190869909
345935,16.7,1721222968190869909
345588, 3.1,1721222969339673820
345935,16.6,1721222969339673820
345588, 3.1,1721222969366764789
345935,16.6,1721222969366764789
345588, 2.9,1721222970517954494
345935,16.4,1721222970517954494
345588, 2.9,1721222970548424801
345935,16.4,1721222970548424801
345588, 2.5,1721222971696199820
345935,15.2,1721222971696199820
345588, 2.5,1721222971723935976
345935,15.3,1721222971723935976
345588, 2.4,1721222972873088334
345935,15.1,1721222972873088334
345588, 2.4,1721222972899635056
345935,15.1,1721222972899635056
345588, 2.3,1721222974048977211
345935,15.0,1721222974048977211
345588, 2.3,1721222974077109155
345935,15.0,1721222974077109155
345588, 2.2,1721222975225867709
345935,14.8,1721222975225867709
345588, 2.2,1721222975254895223
345935,14.8,1721222975254895223
345588, 2.0,1721222976399983077
345935,14.7,1721222976399983077
345588, 2.0,1721222976432897098
345935,14.7,1721222976432897098
345588, 2.0,1721222977574355490
345935,14.6,1721222977574355490
345588, 2.0,1721222977612153340
345935,14.6,1721222977612153340
345588, 1.8,1721222978769088026
345935,14.0,1721222978769088026
345588, 1.8,1721222978809793936
345935,14.0,1721222978809793936
345588, 1.7,1721222979972028466
345935,14.0,1721222979972028466
345588, 1.7,1721222980011242639
345935,14.0,1721222980011242639
345588, 1.6,1721222981154946128
345935,14.1,1721222981154946128
345588, 1.6,1721222981200331691
345935,14.1,1721222981200331691
345588, 1.6,1721222982331474219
345935,14.1,1721222982331474219
345588, 1.6,1721222982381164878
345935,14.1,1721222982381164878
345588, 1.5,1721222983507116127
345935,14.0,1721222983507116127
345588, 1.5,1721222983563820075
