pid,cpu,ts
436971, 0.0,1720283026065678261
436971,45.0,1720283027235988078
437363, 0.0,1720283027235988078
436971,22.5,1720283028408092010
437363,12.0,1720283028408092010
436971,15.0,1720283029585800371
437363,13.0,1720283029585800371
436971,11.2,1720283030767783574
437363,10.2,1720283030767783574
436971, 7.5,1720283031943539144
437363,11.2,1720283031943539144
436971, 6.4,1720283033118338852
437363,12.0,1720283033118338852
436971, 5.6,1720283034295726470
437363,12.7,1720283034295726470
436971, 5.0,1720283035469496757
437363,13.5,1720283035469496757
436971, 4.5,1720283036643945815
437363,14.3,1720283036643945815
436971, 3.7,1720283037817859333
437363,13.5,1720283037817859333
436971, 3.4,1720283038990605340
437363,13.9,1720283038990605340
436971, 3.2,1720283040167663730
437363,13.8,1720283040167663730
436971, 3.0,1720283041350591960
437363,13.7,1720283041350591960
436971, 2.8,1720283042515667954
437363,13.5,1720283042515667954
436971, 2.6,1720283043682012802
437363,13.3,1720283043682012802
436971, 2.3,1720283044846476172
437363,12.3,1720283044846476172
436971, 2.2,1720283046010108355
437363,12.3,1720283046010108355
436971, 2.1,1720283047177137674
437363,12.2,1720283047177137674
436971, 2.0,1720283048362391203
437363,12.2,1720283048362391203
436971, 1.9,1720283049538915309
437363,12.2,1720283049538915309
436971, 1.8,1720283050714891112
437363,12.2,1720283050714891112
436971, 1.7,1720283051879051624
437363,11.7,1720283051879051624
436971, 1.6,1720283053044081987
437363,11.7,1720283053044081987
436971, 1.6,1720283054205745560
437363,11.7,1720283054205745560
436971, 1.5,1720283055376303448
437363,11.6,1720283055376303448
436971, 1.5,1720283056547072104
437363,11.6,1720283056547072104
436971, 1.4,1720283057715422329
437363,11.7,1720283057715422329
436971, 1.3,1720283058880887344
437363,11.4,1720283058880887344
436971, 1.3,1720283060051983528
437363,11.5,1720283060051983528
436971, 1.2,1720283061228384417
437363,11.6,1720283061228384417
436971, 1.2,1720283062400859603
437363,11.7,1720283062400859603
436971, 1.2,1720283063585009177
437363,11.9,1720283063585009177
436971, 1.1,1720283064757371812
437363,12.0,1720283064757371812
436971, 1.1,1720283065923240821
437363,11.8,1720283065923240821
436971, 1.0,1720283067092605894
437363,11.9,1720283067092605894
436971, 1.0,1720283068260805780
437363,12.0,1720283068260805780
436971, 1.0,1720283069435270431
437363,12.1,1720283069435270431
436971, 1.0,1720283070607955497
437363,12.1,1720283070607955497
436971, 0.9,1720283071780536847
437363,11.9,1720283071780536847
436971, 0.9,1720283072949425995
437363,11.9,1720283072949425995
436971, 0.9,1720283074118203212
437363,11.9,1720283074118203212
436971, 0.9,1720283075312654698
437363,11.9,1720283075312654698
436971, 0.9,1720283076494987119
437363,11.8,1720283076494987119
436971, 0.8,1720283077661960527
437363,11.8,1720283077661960527
436971, 0.8,1720283078828746400
437363,11.6,1720283078828746400
436971, 0.8,1720283079992547175
437363,11.6,1720283079992547175
436971, 0.8,1720283081163222625
437363,11.6,1720283081163222625
436971, 0.8,1720283082328613409
437363,11.6,1720283082328613409
436971, 0.7,1720283083491515651
437363,11.6,1720283083491515651
436971, 0.7,1720283084656604596
437363,11.6,1720283084656604596
436971, 0.7,1720283085821244035
437363,11.4,1720283085821244035
436971, 0.7,1720283086990488489
437363,11.4,1720283086990488489
436971, 0.7,1720283088155886148
437363,11.4,1720283088155886148
436971, 0.7,1720283089320724053
437363,11.5,1720283089320724053
436971, 0.7,1720283090489485947
437363,11.5,1720283090489485947
436971, 0.6,1720283091653616388
437363,11.6,1720283091653616388
436971, 0.6,1720283092817372084
437363,11.4,1720283092817372084
436971, 0.6,1720283093982707307
437363,11.5,1720283093982707307
436971, 0.6,1720283095156490013
437363,11.5,1720283095156490013
436971, 0.6,1720283096332766321
437363,11.6,1720283096332766321
436971, 0.6,1720283097500127166
437363,11.6,1720283097500127166
436971, 0.6,1720283098666930962
437363,11.6,1720283098666930962
436971, 0.6,1720283099834686733
437363,11.5,1720283099834686733
436971, 0.6,1720283101003087671
437363,11.5,1720283101003087671
436971, 0.5,1720283102166294033
437363,11.6,1720283102166294033
436971, 0.5,1720283103333808330
437363,11.6,1720283103333808330
436971, 0.5,1720283104502562647
437363,11.6,1720283104502562647
436971, 0.5,1720283105671431269
437363,11.6,1720283105671431269
436971, 0.5,1720283106837707502
437363,11.5,1720283106837707502
436971, 0.5,1720283108004451087
437363,11.6,1720283108004451087
436971, 0.5,1720283109169852652
437363,11.6,1720283109169852652
436971, 0.5,1720283110336068744
437363,11.6,1720283110336068744
436971, 0.5,1720283111504110328
437363,11.7,1720283111504110328
436971, 0.5,1720283112670970866
437363,11.7,1720283112670970866
436971, 0.5,1720283113834277923
437363,11.6,1720283113834277923
436971, 0.5,1720283114997049350
437363,11.7,1720283114997049350
436971, 0.5,1720283116160235549
437363,11.7,1720283116160235549
436971, 0.4,1720283117327306986
437363,11.7,1720283117327306986
436971, 0.4,1720283118503198588
437363,11.8,1720283118503198588
436971, 0.4,1720283119675459432
437363,11.8,1720283119675459432
436971, 0.4,1720283120839380930
437363,11.7,1720283120839380930
436971, 0.4,1720283122003643151
437363,11.7,1720283122003643151
