pid,cpu,ts
450203, 0.0,1720283418149237623
450203,48.0,1720283419340317784
450711, 0.0,1720283419340317784
450203,24.0,1720283420596787967
450711,23.0,1720283420596787967
450203,12.0,1720283421825085378
450711,60.6,1720283421825085378
450203, 9.6,1720283423028108453
450711,82.2,1720283423028108453
450203, 8.0,1720283424221268738
450711,95.2,1720283424221268738
450203, 6.8,1720283425419720954
450711, 105,1720283425419720954
450203, 6.0,1720283426614960060
450711, 113,1720283426614960060
450203, 4.8,1720283427810219294
450711, 106,1720283427810219294
450203, 4.3,1720283429008248893
450711, 113,1720283429008248893
450203, 4.0,1720283430216781120
450711, 120,1720283430216781120
450203, 3.6,1720283431433201183
450711, 127,1720283431433201183
450203, 3.4,1720283432634906896
450711, 133,1720283432634906896
450203, 3.0,1720283433839751008
450711, 128,1720283433839751008
450203, 2.8,1720283435032518885
450711, 132,1720283435032518885
450203, 2.6,1720283436222963842
450711, 136,1720283436222963842
450203, 2.5,1720283437410645116
450711, 140,1720283437410645116
450203, 2.4,1720283438601787819
450711, 144,1720283438601787819
450203, 2.1,1720283439798732605
450711, 140,1720283439798732605
450203, 2.0,1720283440991876793
450711, 144,1720283440991876793
450203, 2.0,1720283442183484593
450711, 147,1720283442183484593
