pid,cpu,ts
394383, 0.0,1720545780093797415
394383,48.0,1720545781284583734
394383,48.0,1720545781379290792
394383,24.0,1720545782463707773
395002,36.0,1720545782463707773
394383,24.0,1720545782546807355
395002,37.0,1720545782546807355
394383,16.0,1720545783643234280
395002,23.5,1720545783643234280
394383,16.0,1720545783730923924
395002,24.0,1720545783730923924
394383, 9.6,1720545784821928589
395002,14.5,1720545784821928589
394383, 9.6,1720545784920829251
395002,15.0,1720545784920829251
394383, 8.0,1720545785994093021
395002,14.0,1720545785994093021
394383, 8.0,1720545786102813781
395002,14.2,1720545786102813781
394383, 6.8,1720545787165992825
395002,13.1,1720545787165992825
394383, 6.8,1720545787281416366
395002,13.3,1720545787281416366
394383, 6.0,1720545788336219605
395002,12.5,1720545788336219605
394383, 6.0,1720545788476552571
395002,12.8,1720545788476552571
394383, 5.3,1720545789505879777
395002,12.3,1720545789505879777
394383, 5.3,1720545789653319066
395002,12.6,1720545789653319066
394383, 4.8,1720545790684733184
395002,12.6,1720545790684733184
394383, 4.3,1720545790838319248
395002,11.6,1720545790838319248
394383, 4.0,1720545791861868354
395002,11.6,1720545791861868354
394383, 4.0,1720545792025432873
395002,11.8,1720545792025432873
394383, 3.6,1720545793040321456
395002,11.8,1720545793040321456
394383, 3.6,1720545793207565760
395002,12.0,1720545793207565760
394383, 3.4,1720545794220828399
395002,11.6,1720545794220828399
394383, 3.4,1720545794383913295
395002,11.7,1720545794383913295
394383, 3.2,1720545795392665022
395002,11.5,1720545795392665022
394383, 3.2,1720545795561838863
395002,11.5,1720545795561838863
394383, 3.0,1720545796560394744
395002,11.2,1720545796560394744
394383, 3.0,1720545796733153852
395002,11.2,1720545796733153852
394383, 2.8,1720545797735822865
395002,10.9,1720545797735822865
394383, 2.6,1720545797902527843
395002,10.4,1720545797902527843
394383, 2.5,1720545798906467320
395002,10.1,1720545798906467320
394383, 2.5,1720545799073365522
395002,10.2,1720545799073365522
394383, 2.4,1720545800074079380
395002,10.0,1720545800074079380
394383, 2.4,1720545800245171947
395002,10.0,1720545800245171947
394383, 2.2,1720545801244621111
395002, 9.9,1720545801244621111
394383, 2.2,1720545801418559151
395002, 9.9,1720545801418559151
394383, 2.1,1720545802416972543
395002, 9.7,1720545802416972543
394383, 2.1,1720545802591939912
395002, 9.8,1720545802591939912
394383, 2.0,1720545803589149876
395002, 9.6,1720545803589149876
394383, 2.0,1720545803765776472
395002, 9.3,1720545803765776472
394383, 2.0,1720545804763261064
395002, 9.2,1720545804763261064
394383, 1.9,1720545804939545866
395002, 9.2,1720545804939545866
394383, 1.8,1720545805933531262
395002, 9.1,1720545805933531262
394383, 1.8,1720545806113495198
395002, 9.2,1720545806113495198
394383, 1.7,1720545807101157959
395002, 9.1,1720545807101157959
394383, 1.7,1720545807282379575
395002, 9.1,1720545807282379575
394383, 1.7,1720545808276499895
395002, 9.0,1720545808276499895
394383, 1.7,1720545808452147877
395002, 9.0,1720545808452147877
394383, 1.6,1720545809444525683
395002, 8.9,1720545809444525683
394383, 1.6,1720545809623684391
395002, 9.0,1720545809623684391
394383, 1.6,1720545810614645206
395002, 8.8,1720545810614645206
394383, 1.5,1720545810789913112
395002, 8.6,1720545810789913112
394383, 1.5,1720545811794238645
395002, 8.5,1720545811794238645
394383, 1.5,1720545811964708728
395002, 8.6,1720545811964708728
394383, 1.4,1720545812968494904
395002, 8.5,1720545812968494904
394383, 1.4,1720545813138574872
395002, 8.6,1720545813138574872
394383, 1.4,1720545814142914241
395002, 8.6,1720545814142914241
394383, 1.4,1720545814315022201
395002, 8.6,1720545814315022201
394383, 1.3,1720545815312954775
395002, 8.6,1720545815312954775
394383, 1.3,1720545815506557995
395002, 8.6,1720545815506557995
394383, 1.3,1720545816497734156
395002, 8.6,1720545816497734156
394383, 1.3,1720545816678444127
395002, 8.6,1720545816678444127
394383, 1.2,1720545817672646781
395002, 8.7,1720545817672646781
394383, 1.2,1720545817854544150
395002, 8.5,1720545817854544150
394383, 1.2,1720545818849871003
395002, 8.5,1720545818849871003
394383, 1.2,1720545819032225234
395002, 8.5,1720545819032225234
394383, 1.2,1720545820023787110
395002, 8.5,1720545820023787110
394383, 1.2,1720545820207566497
395002, 8.6,1720545820207566497
394383, 1.1,1720545821193109680
395002, 8.6,1720545821193109680
394383, 1.1,1720545821379893268
395002, 8.6,1720545821379893268
394383, 1.1,1720545822369904572
395002, 8.6,1720545822369904572
394383, 1.1,1720545822551660084
395002, 8.7,1720545822551660084
394383, 1.1,1720545823540929771
395002, 8.6,1720545823540929771
394383, 1.1,1720545823725717667
395002, 8.7,1720545823725717667
394383, 1.0,1720545824711649984
395002, 8.6,1720545824711649984
394383, 1.0,1720545824894875536
395002, 8.5,1720545824894875536
394383, 1.0,1720545825885162509
395002, 8.5,1720545825885162509
394383, 1.0,1720545826066473142
395002, 8.5,1720545826066473142
394383, 1.0,1720545827055995735
395002, 8.5,1720545827055995735
394383, 1.0,1720545827241463903
395002, 8.5,1720545827241463903
394383, 1.0,1720545828227385770
395002, 8.5,1720545828227385770
394383, 1.0,1720545828418044931
395002, 8.5,1720545828418044931
394383, 0.9,1720545829397272581
395002, 8.5,1720545829397272581
394383, 0.9,1720545829588194528
395002, 8.5,1720545829588194528
394383, 0.9,1720545830566426212
395002, 8.4,1720545830566426212
