pid,cpu,ts
468770, 0.0,1720215402626912115
468770,46.0,1720215403800900973
469150, 0.0,1720215403800900973
468770,15.3,1720215404971215503
469150,16.5,1720215404971215503
468770,11.5,1720215406140250303
469150,14.3,1720215406140250303
468770, 9.2,1720215407302561130
469150,13.2,1720215407302561130
468770, 7.6,1720215408468849310
469150,12.8,1720215408468849310
468770, 6.5,1720215409631088985
469150,12.1,1720215409631088985
468770, 5.7,1720215410796286093
469150,11.8,1720215410796286093
468770, 4.6,1720215411963358915
469150,10.4,1720215411963358915
468770, 4.1,1720215413131666765
469150,10.8,1720215413131666765
468770, 3.8,1720215414300797165
469150,11.1,1720215414300797165
468770, 3.5,1720215415474169797
469150,11.4,1720215415474169797
468770, 3.2,1720215416641065681
469150,11.2,1720215416641065681
468770, 3.0,1720215417803972624
469150,11.0,1720215417803972624
468770, 2.7,1720215418961303695
469150,10.1,1720215418961303695
468770, 2.5,1720215420119002932
469150, 9.8,1720215420119002932
468770, 2.4,1720215421278217594
469150, 9.7,1720215421278217594
468770, 2.3,1720215422441248877
469150, 9.5,1720215422441248877
468770, 2.1,1720215423601973436
469150, 9.4,1720215423601973436
468770, 2.0,1720215424768801933
469150, 9.3,1720215424768801933
468770, 2.0,1720215425932533388
469150, 8.8,1720215425932533388
468770, 1.8,1720215427094777714
469150, 8.7,1720215427094777714
468770, 1.7,1720215428256538531
469150, 8.8,1720215428256538531
468770, 1.7,1720215429419199344
469150, 8.7,1720215429419199344
468770, 1.6,1720215430580185474
469150, 8.6,1720215430580185474
468770, 1.5,1720215431747847069
469150, 8.5,1720215431747847069
468770, 1.5,1720215432914635040
469150, 8.5,1720215432914635040
468770, 1.4,1720215434072115430
469150, 8.2,1720215434072115430
468770, 1.3,1720215435234467258
469150, 8.2,1720215435234467258
468770, 1.3,1720215436396639900
469150, 8.2,1720215436396639900
468770, 1.3,1720215437560034104
469150, 8.2,1720215437560034104
468770, 1.2,1720215438721857811
469150, 8.3,1720215438721857811
468770, 1.2,1720215439881988591
469150, 8.3,1720215439881988591
468770, 1.1,1720215441043472952
469150, 8.1,1720215441043472952
468770, 1.1,1720215442206121507
469150, 8.2,1720215442206121507
468770, 1.1,1720215443374017197
469150, 8.3,1720215443374017197
468770, 1.0,1720215444555830964
469150, 8.3,1720215444555830964
468770, 1.0,1720215445735187944
469150, 8.3,1720215445735187944
468770, 1.0,1720215446924611377
469150, 8.1,1720215446924611377
468770, 1.0,1720215448096919162
469150, 8.1,1720215448096919162
468770, 0.9,1720215449259969442
469150, 8.1,1720215449259969442
468770, 0.9,1720215450423204582
469150, 8.1,1720215450423204582
468770, 0.9,1720215451585994554
469150, 8.1,1720215451585994554
468770, 0.9,1720215452746305508
469150, 8.1,1720215452746305508
468770, 0.9,1720215453911370227
469150, 8.1,1720215453911370227
468770, 0.8,1720215455087291788
469150, 7.9,1720215455087291788
468770, 0.8,1720215456256591748
469150, 7.9,1720215456256591748
468770, 0.8,1720215457453533054
469150, 7.9,1720215457453533054
468770, 0.8,1720215458634118253
469150, 7.9,1720215458634118253
468770, 0.8,1720215459813682140
469150, 7.8,1720215459813682140
468770, 0.7,1720215460975497727
469150, 7.7,1720215460975497727
468770, 0.7,1720215462144188836
469150, 7.7,1720215462144188836
468770, 0.7,1720215463324749835
469150, 7.7,1720215463324749835
468770, 0.7,1720215464498375342
469150, 7.6,1720215464498375342
468770, 0.7,1720215465666613452
469150, 7.7,1720215465666613452
468770, 0.7,1720215466838872257
469150, 7.7,1720215466838872257
468770, 0.6,1720215468026726638
469150, 7.6,1720215468026726638
468770, 0.6,1720215469196745557
469150, 7.6,1720215469196745557
468770, 0.6,1720215470366763885
469150, 7.6,1720215470366763885
468770, 0.6,1720215471547605101
469150, 7.6,1720215471547605101
468770, 0.6,1720215472725723740
469150, 7.7,1720215472725723740
468770, 0.6,1720215473901368561
469150, 7.7,1720215473901368561
468770, 0.6,1720215475094448163
469150, 7.6,1720215475094448163
468770, 0.6,1720215476267818672
469150, 7.6,1720215476267818672
468770, 0.6,1720215477433543250
469150, 7.6,1720215477433543250
468770, 0.6,1720215478594533563
469150, 7.6,1720215478594533563
468770, 0.5,1720215479767629529
469150, 7.6,1720215479767629529
468770, 0.5,1720215480931418696
469150, 7.5,1720215480931418696
468770, 0.5,1720215482096959373
469150, 7.6,1720215482096959373
468770, 0.5,1720215483269277718
469150, 7.6,1720215483269277718
468770, 0.5,1720215484477287944
469150, 7.6,1720215484477287944
468770, 0.5,1720215485655145005
469150, 7.6,1720215485655145005
468770, 0.5,1720215486818962961
469150, 7.6,1720215486818962961
468770, 0.5,1720215487978137664
469150, 7.5,1720215487978137664
468770, 0.5,1720215489143537273
469150, 7.6,1720215489143537273
468770, 0.5,1720215490305758426
469150, 7.5,1720215490305758426
468770, 0.5,1720215491467855197
469150, 7.6,1720215491467855197
468770, 0.5,1720215492633403239
469150, 7.6,1720215492633403239
468770, 0.5,1720215493792826526
469150, 7.6,1720215493792826526
468770, 0.4,1720215494965287392
469150, 7.5,1720215494965287392
468770, 0.4,1720215496130870885
469150, 7.5,1720215496130870885
468770, 0.4,1720215497293396498
469150, 7.6,1720215497293396498
468770, 0.4,1720215498456891320
469150, 7.6,1720215498456891320
