pid,cpu,ts
436366, 0.0,1720283024369476606
436366,45.0,1720283025580790901
436821, 0.0,1720283025580790901
436366,22.5,1720283026770146906
436821,13.5,1720283026770146906
436366,11.2,1720283027936032350
436821,12.0,1720283027936032350
436366, 9.0,1720283029099244634
436821,12.0,1720283029099244634
436366, 7.5,1720283030264756936
436821,11.4,1720283030264756936
436366, 6.4,1720283031435632532
436821,11.1,1720283031435632532
436366, 5.6,1720283032596198817
436821,10.8,1720283032596198817
436366, 5.0,1720283033761626591
436821, 9.7,1720283033761626591
436366, 4.0,1720283034926732188
436821,10.2,1720283034926732188
436366, 3.7,1720283036093425810
436821,10.5,1720283036093425810
436366, 3.4,1720283037263347209
436821,10.6,1720283037263347209
436366, 3.2,1720283038426328431
436821,10.5,1720283038426328431
436366, 3.0,1720283039586693641
436821,10.3,1720283039586693641
436366, 2.8,1720283040753329445
436821,10.1,1720283040753329445
436366, 2.5,1720283041913589086
436821, 9.2,1720283041913589086
436366, 2.3,1720283043073667155
436821, 9.1,1720283043073667155
436366, 2.2,1720283044250096300
436821, 9.0,1720283044250096300
436366, 2.1,1720283045417662853
436821, 8.8,1720283045417662853
436366, 2.0,1720283046582937463
436821, 8.8,1720283046582937463
436366, 1.9,1720283047755916844
436821, 8.7,1720283047755916844
436366, 1.8,1720283048935668046
436821, 8.2,1720283048935668046
436366, 1.7,1720283050100935916
436821, 8.2,1720283050100935916
436366, 1.6,1720283051262986368
436821, 8.2,1720283051262986368
436366, 1.6,1720283052421219281
436821, 8.1,1720283052421219281
436366, 1.5,1720283053589910918
436821, 8.1,1720283053589910918
436366, 1.5,1720283054751210065
436821, 8.0,1720283054751210065
436366, 1.4,1720283055914782239
436821, 7.7,1720283055914782239
436366, 1.3,1720283057082836024
436821, 7.8,1720283057082836024
436366, 1.3,1720283058245380591
436821, 7.8,1720283058245380591
436366, 1.2,1720283059427291411
436821, 7.8,1720283059427291411
436366, 1.2,1720283060638388322
436821, 7.8,1720283060638388322
436366, 1.1,1720283061822734084
436821, 7.7,1720283061822734084
436366, 1.1,1720283062996209697
436821, 7.7,1720283062996209697
436366, 1.1,1720283064167282199
436821, 7.8,1720283064167282199
436366, 1.0,1720283065341037069
436821, 7.9,1720283065341037069
436366, 1.0,1720283066518645498
436821, 7.9,1720283066518645498
436366, 1.0,1720283067683858531
436821, 7.9,1720283067683858531
436366, 1.0,1720283068845036435
436821, 7.8,1720283068845036435
436366, 0.9,1720283070009248902
436821, 7.8,1720283070009248902
436366, 0.9,1720283071173109606
436821, 7.8,1720283071173109606
436366, 0.9,1720283072333702919
436821, 7.8,1720283072333702919
436366, 0.9,1720283073492906672
436821, 7.8,1720283073492906672
436366, 0.9,1720283074656881313
436821, 7.7,1720283074656881313
436366, 0.8,1720283075832107493
436821, 7.5,1720283075832107493
436366, 0.8,1720283076998564535
436821, 7.5,1720283076998564535
436366, 0.8,1720283078159200160
436821, 7.6,1720283078159200160
436366, 0.8,1720283079321667620
436821, 7.5,1720283079321667620
436366, 0.8,1720283080479984553
436821, 7.5,1720283080479984553
436366, 0.7,1720283081643251873
436821, 7.5,1720283081643251873
436366, 0.7,1720283082807467151
436821, 7.4,1720283082807467151
436366, 0.7,1720283083965945520
436821, 7.4,1720283083965945520
436366, 0.7,1720283085127317325
436821, 7.4,1720283085127317325
436366, 0.7,1720283086289511653
436821, 7.4,1720283086289511653
436366, 0.7,1720283087471262953
436821, 7.4,1720283087471262953
436366, 0.7,1720283088640320435
436821, 7.4,1720283088640320435
436366, 0.6,1720283089801874626
436821, 7.3,1720283089801874626
436366, 0.6,1720283090971867092
436821, 7.3,1720283090971867092
436366, 0.6,1720283092136395414
436821, 7.4,1720283092136395414
436366, 0.6,1720283093300609383
436821, 7.4,1720283093300609383
436366, 0.6,1720283094465160439
436821, 7.4,1720283094465160439
436366, 0.6,1720283095630423347
436821, 7.4,1720283095630423347
436366, 0.6,1720283096794645322
436821, 7.3,1720283096794645322
436366, 0.6,1720283097958368949
436821, 7.3,1720283097958368949
436366, 0.6,1720283099125284936
436821, 7.4,1720283099125284936
436366, 0.5,1720283100293969138
436821, 7.4,1720283100293969138
436366, 0.5,1720283101466194068
436821, 7.4,1720283101466194068
436366, 0.5,1720283102628248639
436821, 7.4,1720283102628248639
436366, 0.5,1720283103795423285
436821, 7.3,1720283103795423285
436366, 0.5,1720283104964757274
436821, 7.4,1720283104964757274
436366, 0.5,1720283106130203011
436821, 7.4,1720283106130203011
436366, 0.5,1720283107292439937
436821, 7.4,1720283107292439937
436366, 0.5,1720283108454538383
436821, 7.4,1720283108454538383
436366, 0.5,1720283109617354643
436821, 7.4,1720283109617354643
436366, 0.5,1720283110783378742
436821, 7.3,1720283110783378742
436366, 0.5,1720283111949826090
436821, 7.4,1720283111949826090
436366, 0.5,1720283113108559962
436821, 7.4,1720283113108559962
436366, 0.5,1720283114270606281
436821, 7.4,1720283114270606281
436366, 0.4,1720283115434214717
436821, 7.4,1720283115434214717
436366, 0.4,1720283116600600241
436821, 7.4,1720283116600600241
436366, 0.4,1720283117783535044
436821, 7.4,1720283117783535044
436366, 0.4,1720283118962061975
436821, 7.4,1720283118962061975
436366, 0.4,1720283120127560728
436821, 7.4,1720283120127560728
436366, 0.4,1720283121293014105
436821, 7.4,1720283121293014105
436366, 0.4,1720283122455370552
436821, 7.4,1720283122455370552
