pid,cpu,ts
410120, 0.0,1720209856849173014
410120,42.0,1720209857411779447
410294,82.0,1720209857411779447
410120,22.5,1720209857982901417
410424, 3.0,1720209857982901417
410120,22.5,1720209858592104225
410424,20.0,1720209858592104225
410120,15.0,1720209859171464551
410424,11.5,1720209859171464551
410120,15.0,1720209859730643527
410424,12.0,1720209859730643527
410120,11.2,1720209860300289812
410424, 8.0,1720209860300289812
410120,11.2,1720209860871329147
410424,12.3,1720209860871329147
410120, 9.0,1720209861450287287
410424,16.2,1720209861450287287
410120, 7.5,1720209862040679323
410424,17.6,1720209862040679323
410120, 7.5,1720209862620544419
410424,22.2,1720209862620544419
410120, 6.4,1720209863209020211
410424,22.3,1720209863209020211
410120, 6.4,1720209863790311980
410424,26.3,1720209863790311980
410120, 5.6,1720209864371400437
410424,25.5,1720209864371400437
410120, 5.0,1720209864955451246
410424,25.5,1720209864955451246
410120, 5.0,1720209865538391867
410424,28.1,1720209865538391867
410120, 4.5,1720209866119798413
410424,27.4,1720209866119798413
410120, 4.5,1720209866703180344
410424,29.8,1720209866703180344
410120, 4.0,1720209867293212654
410424,28.8,1720209867293212654
410120, 4.0,1720209867877820721
410424,30.8,1720209867877820721
410120, 3.7,1720209868463198877
410424,29.9,1720209868463198877
410120, 3.4,1720209869047259515
410424,29.7,1720209869047259515
410120, 3.4,1720209869639197279
410424,32.4,1720209869639197279
410120, 3.2,1720209870229386515
410424,31.8,1720209870229386515
410120, 3.2,1720209870816054918
410424,33.5,1720209870816054918
410120, 3.0,1720209871400588596
410424,32.5,1720209871400588596
410120, 2.8,1720209871985338541
410424,31.7,1720209871985338541
410120, 2.8,1720209872567543208
410424,33.0,1720209872567543208
410120, 2.6,1720209873155304126
410424,32.3,1720209873155304126
410120, 2.6,1720209873773672445
410424,33.5,1720209873773672445
410120, 2.5,1720209874359166469
410424,32.7,1720209874359166469
410120, 2.5,1720209874945929391
410424,32.1,1720209874945929391
410120, 2.3,1720209875532770138
410424,33.2,1720209875532770138
410120, 2.2,1720209876125702384
410424,32.4,1720209876125702384
410120, 2.2,1720209876714522545
410424,33.3,1720209876714522545
410120, 2.1,1720209877307637474
410424,32.6,1720209877307637474
410120, 2.1,1720209877893368174
410424,33.5,1720209877893368174
410120, 2.0,1720209878480510889
410424,32.6,1720209878480510889
410120, 1.9,1720209879072867072
410424,32.0,1720209879072867072
410120, 1.9,1720209879665854972
410424,32.8,1720209879665854972
410120, 1.8,1720209880260417354
410424,32.1,1720209880260417354
410120, 1.8,1720209880848204332
410424,32.8,1720209880848204332
410120, 1.8,1720209881438548860
410424,32.2,1720209881438548860
410120, 1.7,1720209882029310874
410424,31.6,1720209882029310874
410120, 1.7,1720209882616961746
410424,32.3,1720209882616961746
410120, 1.6,1720209883213914575
410424,31.8,1720209883213914575
410120, 1.6,1720209883801548355
410424,32.6,1720209883801548355
410120, 1.6,1720209884393277498
410424,32.1,1720209884393277498
410120, 1.5,1720209885015056924
410424,31.8,1720209885015056924
410120, 1.5,1720209885605435948
410424,32.5,1720209885605435948
410120, 1.5,1720209886196895584
410424,32.1,1720209886196895584
410120, 1.5,1720209886790819095
410424,32.8,1720209886790819095
410120, 1.4,1720209887386453314
410424,32.2,1720209887386453314
410120, 1.4,1720209887982155350
410424,31.7,1720209887982155350
410120, 1.4,1720209888576152219
410424,32.2,1720209888576152219
410120, 1.3,1720209889170686219
410424,31.8,1720209889170686219
410120, 1.3,1720209889762170251
410424,32.4,1720209889762170251
410120, 1.3,1720209890355899397
410424,32.1,1720209890355899397
410120, 1.2,1720209890958983528
410424,31.8,1720209890958983528
410120, 1.2,1720209891559116129
410424,32.5,1720209891559116129
410120, 1.2,1720209892159793203
410424,32.2,1720209892159793203
410120, 1.2,1720209892762445342
410424,32.8,1720209892762445342
410120, 1.2,1720209893363660388
410424,32.6,1720209893363660388
410120, 1.1,1720209893979228943
410424,32.4,1720209893979228943
410120, 1.1,1720209894584413305
410424,33.0,1720209894584413305
410120, 1.1,1720209895199729385
410424,32.8,1720209895199729385
410120, 1.1,1720209895804688854
410424,33.4,1720209895804688854
410120, 1.1,1720209896409908193
410424,33.2,1720209896409908193
410120, 1.0,1720209897016854550
410424,33.0,1720209897016854550
410120, 1.0,1720209897619790704
410424,33.7,1720209897619790704
410120, 1.0,1720209898224490245
410424,33.5,1720209898224490245
410120, 1.0,1720209898838036485
410424,34.2,1720209898838036485
410120, 1.0,1720209899443044527
410424,34.0,1720209899443044527
410120, 1.0,1720209900050186392
410424,33.9,1720209900050186392
410120, 1.0,1720209900659143401
410424,34.5,1720209900659143401
410120, 1.0,1720209901268929520
410424,34.4,1720209901268929520
410120, 1.0,1720209901879003179
410424,34.9,1720209901879003179
410120, 0.9,1720209902487408060
410424,34.6,1720209902487408060
410120, 0.9,1720209903099467645
410424,34.4,1720209903099467645
410120, 0.9,1720209903711984540
410424,34.9,1720209903711984540
410120, 0.9,1720209904322446370
410424,34.7,1720209904322446370
410120, 0.9,1720209904937516628
410424,34.4,1720209904937516628
410120, 0.9,1720209905549743628
410424,34.9,1720209905549743628
410120, 0.9,1720209906159018696
410424,34.7,1720209906159018696
410120, 0.9,1720209906774680858
410424,35.2,1720209906774680858
410120, 0.8,1720209907383415349
410424,34.9,1720209907383415349
410120, 0.8,1720209907994996094
410424,34.7,1720209907994996094
410120, 0.8,1720209908607391311
410424,35.1,1720209908607391311
410120, 0.8,1720209909225815938
410424,34.8,1720209909225815938
410120, 0.8,1720209909839592093
410424,35.1,1720209909839592093
410120, 0.8,1720209910450209276
410424,34.8,1720209910450209276
410120, 0.8,1720209911060776795
410424,34.5,1720209911060776795
410120, 0.8,1720209911672625113
410424,34.9,1720209911672625113
410120, 0.8,1720209912283534766
410424,34.6,1720209912283534766
410120, 0.8,1720209912891739391
410424,35.0,1720209912891739391
410120, 0.7,1720209913506979038
410424,34.8,1720209913506979038
410120, 0.7,1720209914116489319
410424,34.5,1720209914116489319
410120, 0.7,1720209914734917494
410424,35.0,1720209914734917494
410120, 0.7,1720209915352023803
410424,34.7,1720209915352023803
410120, 0.7,1720209915961998207
410424,34.5,1720209915961998207
410120, 0.7,1720209916590049493
410424,34.8,1720209916590049493
410120, 0.7,1720209917208968250
410424,34.7,1720209917208968250
410120, 0.7,1720209917820123306
410424,35.0,1720209917820123306
410120, 0.7,1720209918448155796
410424,34.8,1720209918448155796
410120, 0.7,1720209919086410464
410424,34.5,1720209919086410464
410120, 0.7,1720209919703852705
410424,34.9,1720209919703852705
410120, 0.7,1720209920320892368
410424,34.6,1720209920320892368
410120, 0.7,1720209920942976260
410424,34.4,1720209920942976260
410120, 0.6,1720209921566684036
410424,34.8,1720209921566684036
410120, 0.6,1720209922187105140
410424,34.7,1720209922187105140
410120, 0.6,1720209922812745011
410424,35.1,1720209922812745011
410120, 0.6,1720209923439547809
410424,34.9,1720209923439547809
410120, 0.6,1720209924063460400
410424,34.9,1720209924063460400
410120, 0.6,1720209924687783354
410424,35.2,1720209924687783354
410120, 0.6,1720209925321396592
410424,35.1,1720209925321396592
410120, 0.6,1720209925950569939
410424,34.9,1720209925950569939
410120, 0.6,1720209926587096858
410424,35.4,1720209926587096858
410120, 0.6,1720209927220626889
410424,35.3,1720209927220626889
410120, 0.6,1720209927854658495
