pid,cpu,ts
320723, 0.0,1721222688074118742
320723,49.0,1721222689335663818
320723,24.5,1721222690503841587
321310,21.0,1721222690503841587
320723,16.3,1721222691682170649
321310, 8.0,1721222691682170649
320723, 9.8,1721222692852886177
321310, 6.2,1721222692852886177
320723, 8.1,1721222694041060704
321310, 5.2,1721222694041060704
320723, 7.0,1721222695245638725
321310, 4.3,1721222695245638725
320723, 6.1,1721222696429544552
321310,30.0,1721222696429544552
320723, 5.4,1721222697600971410
321310,32.1,1721222697600971410
320723, 4.4,1721222698770578923
321310,30.4,1721222698770578923
320723, 4.0,1721222699946480307
321310,31.9,1721222699946480307
320723, 3.7,1721222701117172276
321310,32.8,1721222701117172276
320723, 3.5,1721222702288217972
321310,33.6,1721222702288217972
320723, 3.2,1721222703462105974
321310,34.5,1721222703462105974
320723, 3.0,1721222704643088576
321310,36.0,1721222704643088576
320723, 2.7,1721222705816575860
321310,35.4,1721222705816575860
320723, 2.5,1721222706990700325
321310,36.8,1721222706990700325
320723, 2.4,1721222708160236448
321310,37.7,1721222708160236448
320723, 2.3,1721222709322059921
321310,38.0,1721222709322059921
320723, 2.2,1721222710490268246
321310,38.0,1721222710490268246
320723, 2.1,1721222711652712219
321310,38.0,1721222711652712219
320723, 1.9,1721222712819227216
321310,36.4,1721222712819227216
320723, 1.8,1721222713983875218
321310,36.4,1721222713983875218
320723, 1.8,1721222715150827570
321310,36.3,1721222715150827570
320723, 1.7,1721222716318309751
321310,36.4,1721222716318309751
320723, 1.6,1721222717484259158
321310,36.5,1721222717484259158
320723, 1.6,1721222718653558949
321310,36.5,1721222718653558949
320723, 1.5,1721222719827836817
321310,35.7,1721222719827836817
320723, 1.4,1721222721011767786
321310,36.0,1721222721011767786
320723, 1.4,1721222722184882567
321310,36.1,1721222722184882567
320723, 1.4,1721222723352610809
321310,36.0,1721222723352610809
320723, 1.3,1721222724519328943
321310,36.1,1721222724519328943
320723, 1.2,1721222725692423584
321310,35.2,1721222725692423584
