pid,cpu,ts
393316, 0.0,1720545778129318036
393316,49.0,1720545779330247321
393658, 115,1720545779330247321
393316,49.0,1720545779482887743
393658, 115,1720545779482887743
393316,26.0,1720545780551467326
394414, 0.0,1720545780551467326
393316,26.0,1720545780720997910
394414, 0.0,1720545780720997910
393316,17.3,1720545781763204960
394414, 103,1720545781763204960
393316,13.0,1720545781905982775
394414, 106,1720545781905982775
393316,10.4,1720545782940887002
394414,85.3,1720545782940887002
393316,10.4,1720545783078325113
394414,87.0,1720545783078325113
393316, 8.6,1720545784110443489
394414,76.2,1720545784110443489
393316, 8.6,1720545784256391067
394414,78.2,1720545784256391067
393316, 7.4,1720545785281019909
394414,71.0,1720545785281019909
393316, 7.4,1720545785435448651
394414,72.8,1720545785435448651
393316, 6.5,1720545786453861317
394414,67.1,1720545786453861317
393316, 6.5,1720545786614579071
394414,68.1,1720545786614579071
393316, 5.7,1720545787624798977
394414,64.4,1720545787624798977
393316, 5.2,1720545787791776859
394414,57.0,1720545787791776859
393316, 4.7,1720545788801530956
394414,55.1,1720545788801530956
393316, 4.7,1720545788965654029
394414,55.7,1720545788965654029
393316, 4.3,1720545789982912279
394414,55.3,1720545789982912279
393316, 4.3,1720545790143947661
394414,56.3,1720545790143947661
393316, 4.0,1720545791154764672
394414,56.6,1720545791154764672
393316, 4.0,1720545791321314287
394414,57.3,1720545791321314287
393316, 3.7,1720545792339629017
394414,57.4,1720545792339629017
393316, 3.7,1720545792509790890
394414,58.2,1720545792509790890
393316, 3.4,1720545793520743566
394414,57.8,1720545793520743566
393316, 3.4,1720545793691765289
394414,58.4,1720545793691765289
393316, 3.2,1720545794696920699
394414,57.0,1720545794696920699
393316, 3.0,1720545794864081405
394414,53.6,1720545794864081405
393316, 2.8,1720545795866827174
394414,52.5,1720545795866827174
393316, 2.8,1720545796037411523
394414,52.8,1720545796037411523
393316, 2.7,1720545797042978678
394414,51.7,1720545797042978678
393316, 2.7,1720545797206793749
394414,52.0,1720545797206793749
393316, 2.6,1720545798215784527
394414,50.9,1720545798215784527
393316, 2.6,1720545798379913470
394414,51.2,1720545798379913470
393316, 2.4,1720545799390335154
394414,50.2,1720545799390335154
393316, 2.4,1720545799559478737
394414,50.5,1720545799559478737
393316, 2.3,1720545800563567656
394414,49.5,1720545800563567656
393316, 2.3,1720545800733560951
394414,49.8,1720545800733560951
393316, 2.2,1720545801741977365
394414,49.0,1720545801741977365
393316, 2.1,1720545801904973403
394414,47.0,1720545801904973403
393316, 2.0,1720545802914932544
394414,46.5,1720545802914932544
393316, 2.0,1720545803079323441
394414,46.7,1720545803079323441
393316, 2.0,1720545804114588264
394414,46.3,1720545804114588264
393316, 2.0,1720545804253867665
394414,46.5,1720545804253867665
393316, 1.9,1720545805286825851
394414,46.2,1720545805286825851
393316, 1.9,1720545805427776791
394414,46.4,1720545805427776791
393316, 1.8,1720545806459168575
394414,46.1,1720545806459168575
393316, 1.8,1720545806597403437
394414,46.3,1720545806597403437
393316, 1.7,1720545807633589466
394414,45.9,1720545807633589466
393316, 1.7,1720545807766306729
394414,44.4,1720545807766306729
393316, 1.6,1720545808807851837
394414,43.9,1720545808807851837
393316, 1.6,1720545808939202255
394414,44.1,1720545808939202255
393316, 1.6,1720545809983973293
394414,43.8,1720545809983973293
393316, 1.6,1720545810112640513
394414,43.9,1720545810112640513
393316, 1.5,1720545811158580003
394414,43.7,1720545811158580003
393316, 1.5,1720545811285208821
394414,43.9,1720545811285208821
393316, 1.5,1720545812330877571
394414,43.8,1720545812330877571
393316, 1.5,1720545812469930384
394414,44.0,1720545812469930384
393316, 1.4,1720545813507322746
