pid,cpu,ts
463108, 0.0,1720214999337556025
463108,44.0,1720215000479618493
463332, 0.0,1720215000479618493
463108,22.0,1720215001643998507
463332,22.0,1720215001643998507
463108,14.6,1720215002810760516
463332,11.0,1720215002810760516
463108, 8.8,1720215004003418800
463332,17.5,1720215004003418800
463108, 7.3,1720215005177089765
463332,23.2,1720215005177089765
463108, 6.2,1720215006337984858
463332,27.0,1720215006337984858
463108, 5.5,1720215007508837003
463332,29.8,1720215007508837003
463108, 4.8,1720215008678183204
463332,31.3,1720215008678183204
463108, 4.4,1720215009842515269
463332,32.6,1720215009842515269
463108, 3.6,1720215011000940213
463332,30.8,1720215011000940213
463108, 3.3,1720215012167520216
463332,33.1,1720215012167520216
463108, 3.1,1720215013332292520
463332,35.5,1720215013332292520
463108, 2.9,1720215014495962459
463332,37.2,1720215014495962459
463108, 2.7,1720215015658517703
463332,38.2,1720215015658517703
463108, 2.5,1720215016819787781
463332,38.5,1720215016819787781
463108, 2.3,1720215017985394757
463332,36.5,1720215017985394757
463108, 2.2,1720215019157674180
463332,36.5,1720215019157674180
463108, 2.0,1720215020319642261
463332,36.5,1720215020319642261
463108, 2.0,1720215021481163194
463332,36.4,1720215021481163194
463108, 1.9,1720215022643038537
463332,36.4,1720215022643038537
463108, 1.8,1720215023811783337
463332,36.5,1720215023811783337
463108, 1.6,1720215024973708119
463332,35.2,1720215024973708119
463108, 1.6,1720215026140911553
463332,35.3,1720215026140911553
463108, 1.5,1720215027307440531
463332,35.6,1720215027307440531
463108, 1.5,1720215028468268316
463332,35.8,1720215028468268316
463108, 1.4,1720215029630628320
463332,35.8,1720215029630628320
463108, 1.4,1720215030790268496
463332,35.8,1720215030790268496
463108, 1.3,1720215031950346729
463332,34.7,1720215031950346729
463108, 1.2,1720215033119590073
463332,34.9,1720215033119590073
463108, 1.2,1720215034282429522
463332,35.2,1720215034282429522
463108, 1.2,1720215035442598826
463332,35.5,1720215035442598826
463108, 1.1,1720215036602956808
463332,35.8,1720215036602956808
463108, 1.1,1720215037768266086
463332,36.1,1720215037768266086
463108, 1.1,1720215038934888900
463332,35.4,1720215038934888900
463108, 1.0,1720215040095462807
463332,35.8,1720215040095462807
463108, 1.0,1720215041256864767
463332,36.2,1720215041256864767
463108, 1.0,1720215042418852683
463332,36.6,1720215042418852683
463108, 1.0,1720215043596619062
463332,37.0,1720215043596619062
463108, 0.9,1720215044763821874
463332,37.3,1720215044763821874
463108, 0.9,1720215045932682560
463332,36.6,1720215045932682560
463108, 0.9,1720215047095359627
463332,36.8,1720215047095359627
463108, 0.8,1720215048260653934
463332,37.0,1720215048260653934
463108, 0.8,1720215049424381824
463332,37.1,1720215049424381824
463108, 0.8,1720215050589346336
463332,37.1,1720215050589346336
463108, 0.8,1720215051751679897
463332,37.1,1720215051751679897
463108, 0.8,1720215052910762980
463332,37.1,1720215052910762980
463108, 0.8,1720215054074610134
463332,36.4,1720215054074610134
463108, 0.7,1720215055238816300
463332,36.4,1720215055238816300
463108, 0.7,1720215056404172675
463332,36.5,1720215056404172675
463108, 0.7,1720215057573033831
463332,36.5,1720215057573033831
463108, 0.7,1720215058735803890
463332,36.6,1720215058735803890
463108, 0.7,1720215059895939353
463332,36.7,1720215059895939353
463108, 0.7,1720215061056665910
463332,36.0,1720215061056665910
463108, 0.6,1720215062216915172
463332,36.0,1720215062216915172
463108, 0.6,1720215063377411130
463332,36.0,1720215063377411130
463108, 0.6,1720215064542203102
463332,36.2,1720215064542203102
463108, 0.6,1720215065716789819
463332,36.4,1720215065716789819
463108, 0.6,1720215066882388074
463332,36.6,1720215066882388074
463108, 0.6,1720215068045902868
463332,36.2,1720215068045902868
463108, 0.6,1720215069214732343
463332,36.3,1720215069214732343
463108, 0.6,1720215070379888323
463332,36.5,1720215070379888323
463108, 0.6,1720215071543850508
463332,36.6,1720215071543850508
463108, 0.6,1720215072708143980
463332,36.7,1720215072708143980
463108, 0.5,1720215073871813670
463332,37.0,1720215073871813670
463108, 0.5,1720215075038749904
463332,36.5,1720215075038749904
463108, 0.5,1720215076202942104
463332,36.6,1720215076202942104
463108, 0.5,1720215077372526931
463332,36.7,1720215077372526931
463108, 0.5,1720215078536802473
463332,36.8,1720215078536802473
463108, 0.5,1720215079707823710
463332,36.9,1720215079707823710
463108, 0.5,1720215080873116504
463332,37.0,1720215080873116504
463108, 0.5,1720215082039136680
463332,36.7,1720215082039136680
463108, 0.5,1720215083201322979
463332,36.8,1720215083201322979
463108, 0.5,1720215084381066412
463332,36.9,1720215084381066412
463108, 0.5,1720215085546664401
463332,37.0,1720215085546664401
463108, 0.5,1720215086709315364
463332,37.1,1720215086709315364
463108, 0.5,1720215087871531429
463332,37.2,1720215087871531429
463108, 0.4,1720215089037076366
463332,36.8,1720215089037076366
463108, 0.4,1720215090200962684
463332,37.0,1720215090200962684
463108, 0.4,1720215091368568528
463332,37.1,1720215091368568528
463108, 0.4,1720215092526392855
463332,37.3,1720215092526392855
463108, 0.4,1720215093692715086
463332,37.3,1720215093692715086
463108, 0.4,1720215094855972209
463332,37.4,1720215094855972209
463108, 0.4,1720215096022190140
463332,37.1,1720215096022190140
463108, 0.4,1720215097189177302
463332,37.2,1720215097189177302
463108, 0.4,1720215098352164895
463332,37.3,1720215098352164895
463108, 0.4,1720215099513205685
463332,37.4,1720215099513205685
