pid,cpu,ts
426601, 0.0,1720282787387149685
426601, 0.0,1720282787420498121
426601,70.0,1720282788566231168
426895, 103,1720282788566231168
426601,70.0,1720282788608698090
426895, 112,1720282788608698090
426601,70.0,1720282788656574902
426895, 116,1720282788656574902
426601,24.3,1720282789787863302
428018, 5.0,1720282789787863302
426601,24.3,1720282789853298475
426601,24.3,1720282789877318590
428018, 5.0,1720282789853298475
428018, 5.0,1720282789877318590
426601,18.2,1720282790989454995
428018,12.5,1720282790989454995
426601,18.2,1720282791069017899
428018,12.5,1720282791069017899
426601,18.2,1720282791095837774
428018,12.5,1720282791095837774
426601,14.6,1720282792223126153
428018, 9.6,1720282792223126153
426601,14.6,1720282792320481057
426601,14.6,1720282792350866336
428018, 9.6,1720282792320481057
428018, 9.6,1720282792350866336
426601,12.1,1720282793451127209
428018, 7.2,1720282793451127209
426601,12.1,1720282793554412156
428018, 7.2,1720282793554412156
426601,12.1,1720282793588531726
428018, 7.2,1720282793588531726
426601,10.4,1720282794701358455
428018,45.2,1720282794701358455
426601, 9.1,1720282794796677932
428018,38.5,1720282794796677932
426601, 9.1,1720282794832121820
428018,38.8,1720282794832121820
426601, 8.1,1720282795924800306
428018,37.8,1720282795924800306
426601, 8.1,1720282796034378210
428018,37.8,1720282796034378210
426601, 8.1,1720282796065167380
428018,37.8,1720282796065167380
426601, 7.3,1720282797113953468
428018,33.2,1720282797113953468
426601, 7.3,1720282797214310584
428018,33.2,1720282797214310584
426601, 7.3,1720282797239135017
428018,33.2,1720282797239135017
426601, 6.6,1720282798279683101
428018,29.6,1720282798279683101
426601, 6.6,1720282798383140163
428018,29.6,1720282798383140163
426601, 6.6,1720282798407289873
428018,29.6,1720282798407289873
