pid,cpu,ts
435594, 0.0,1720283022429112531
435594,48.0,1720283023587833392
436089, 0.0,1720283023587833392
435594,16.0,1720283024781646943
436089,14.5,1720283024781646943
435594,12.0,1720283025961477906
436089,61.3,1720283025961477906
435594, 9.6,1720283027152567400
436089,58.2,1720283027152567400
435594, 8.0,1720283028321001381
436089,56.4,1720283028321001381
435594, 6.8,1720283029489568323
436089,54.8,1720283029489568323
435594, 6.0,1720283030663102693
436089,53.0,1720283030663102693
435594, 4.8,1720283031827329741
436089,46.1,1720283031827329741
435594, 4.3,1720283032992164416
436089,45.7,1720283032992164416
435594, 4.0,1720283034159666743
436089,46.7,1720283034159666743
435594, 3.6,1720283035332449287
436089,48.1,1720283035332449287
435594, 3.4,1720283036501178408
436089,49.0,1720283036501178408
435594, 3.2,1720283037669857365
436089,49.5,1720283037669857365
435594, 2.8,1720283038835544490
436089,45.9,1720283038835544490
435594, 2.6,1720283039998234814
436089,45.6,1720283039998234814
435594, 2.5,1720283041162632568
436089,45.1,1720283041162632568
435594, 2.4,1720283042320003572
436089,44.7,1720283042320003572
435594, 2.2,1720283043479247608
436089,44.2,1720283043479247608
435594, 2.1,1720283044648182500
436089,43.9,1720283044648182500
435594, 2.0,1720283045812205810
436089,41.6,1720283045812205810
435594, 1.9,1720283046976448826
436089,41.5,1720283046976448826
435594, 1.8,1720283048152374733
436089,41.5,1720283048152374733
435594, 1.7,1720283049339369616
436089,41.6,1720283049339369616
435594, 1.7,1720283050505938990
436089,41.7,1720283050505938990
435594, 1.6,1720283051667751193
436089,41.6,1720283051667751193
435594, 1.5,1720283052826938767
436089,39.9,1720283052826938767
435594, 1.5,1720283053999554034
436089,39.8,1720283053999554034
435594, 1.4,1720283055165374757
436089,39.9,1720283055165374757
435594, 1.4,1720283056339296359
436089,40.0,1720283056339296359
435594, 1.3,1720283057506730056
436089,40.2,1720283057506730056
435594, 1.3,1720283058670962706
436089,40.4,1720283058670962706
435594, 1.2,1720283059841862060
436089,39.5,1720283059841862060
435594, 1.2,1720283061027389801
436089,39.8,1720283061027389801
435594, 1.2,1720283062198168107
436089,40.1,1720283062198168107
435594, 1.1,1720283063388343965
436089,40.5,1720283063388343965
435594, 1.1,1720283064558852633
436089,40.8,1720283064558852633
435594, 1.1,1720283065732360378
436089,41.1,1720283065732360378
435594, 1.0,1720283066901768633
436089,40.3,1720283066901768633
435594, 1.0,1720283068066536997
436089,40.4,1720283068066536997
435594, 1.0,1720283069243607913
436089,40.5,1720283069243607913
435594, 1.0,1720283070416059919
436089,40.5,1720283070416059919
435594, 0.9,1720283071582634201
436089,40.6,1720283071582634201
435594, 0.9,1720283072746668904
436089,40.5,1720283072746668904
435594, 0.9,1720283073904775248
436089,39.7,1720283073904775248
435594, 0.9,1720283075064588470
436089,39.5,1720283075064588470
435594, 0.8,1720283076225207022
436089,39.5,1720283076225207022
435594, 0.8,1720283077399544096
436089,39.5,1720283077399544096
435594, 0.8,1720283078560462485
436089,39.5,1720283078560462485
435594, 0.8,1720283079723458080
436089,39.5,1720283079723458080
435594, 0.8,1720283080883560511
436089,38.8,1720283080883560511
435594, 0.8,1720283082042248695
436089,38.8,1720283082042248695
435594, 0.7,1720283083206379493
436089,38.8,1720283083206379493
435594, 0.7,1720283084369560642
436089,38.7,1720283084369560642
435594, 0.7,1720283085533244338
436089,38.6,1720283085533244338
435594, 0.7,1720283086694782979
436089,38.8,1720283086694782979
435594, 0.7,1720283087868639971
436089,38.4,1720283087868639971
435594, 0.7,1720283089032927037
436089,38.5,1720283089032927037
435594, 0.7,1720283090196306832
436089,38.6,1720283090196306832
435594, 0.6,1720283091371486099
436089,38.7,1720283091371486099
435594, 0.6,1720283092545321392
436089,38.8,1720283092545321392
435594, 0.6,1720283093714002797
436089,38.9,1720283093714002797
435594, 0.6,1720283094880711532
436089,38.5,1720283094880711532
435594, 0.6,1720283096048277363
436089,38.6,1720283096048277363
435594, 0.6,1720283097213330376
436089,38.7,1720283097213330376
435594, 0.6,1720283098376836883
436089,38.8,1720283098376836883
435594, 0.6,1720283099542090796
436089,38.8,1720283099542090796
435594, 0.6,1720283100705546458
436089,38.9,1720283100705546458
435594, 0.6,1720283101867369111
436089,38.4,1720283101867369111
435594, 0.5,1720283103031082981
436089,38.5,1720283103031082981
435594, 0.5,1720283104195266997
436089,38.6,1720283104195266997
435594, 0.5,1720283105361686831
436089,38.7,1720283105361686831
435594, 0.5,1720283106529342567
436089,38.8,1720283106529342567
435594, 0.5,1720283107697936581
436089,38.8,1720283107697936581
435594, 0.5,1720283108868928368
436089,38.5,1720283108868928368
435594, 0.5,1720283110031072932
436089,38.5,1720283110031072932
435594, 0.5,1720283111190933197
436089,38.6,1720283111190933197
435594, 0.5,1720283112353091046
436089,38.7,1720283112353091046
435594, 0.5,1720283113514989115
436089,38.8,1720283113514989115
435594, 0.5,1720283114679917500
436089,38.9,1720283114679917500
435594, 0.5,1720283115850325298
436089,38.6,1720283115850325298
435594, 0.5,1720283117020098220
436089,38.7,1720283117020098220
435594, 0.5,1720283118191468815
436089,38.8,1720283118191468815
435594, 0.4,1720283119374806329
436089,38.9,1720283119374806329
435594, 0.4,1720283120542337264
436089,38.9,1720283120542337264
435594, 0.4,1720283121708847434
436089,39.0,1720283121708847434
