pid,cpu,ts
327357,42.0,1721222785821772826
327357,22.0,1721222786976347715
327659, 0.0,1721222786976347715
327357,15.0,1721222788177806728
327659,24.0,1721222788177806728
327357,11.2,1721222789358414558
327659,22.0,1721222789358414558
327357, 9.0,1721222790538141987
327659,21.6,1721222790538141987
327357, 6.4,1721222791707950550
327659,16.8,1721222791707950550
327357, 5.6,1721222792884461505
327659,16.8,1721222792884461505
327357, 5.0,1721222794057778120
327659,16.7,1721222794057778120
327357, 4.5,1721222795227693473
327659,17.3,1721222795227693473
327357, 4.0,1721222796410878386
327659,18.6,1721222796410878386
327357, 3.7,1721222797594992972
327659,19.9,1721222797594992972
327357, 3.2,1721222798767029067
327659,18.9,1721222798767029067
327357, 3.0,1721222799941797109
327659,18.8,1721222799941797109
327357, 2.8,1721222801113224614
327659,18.6,1721222801113224614
327357, 2.6,1721222802279525621
327659,18.2,1721222802279525621
327357, 2.5,1721222803457544558
327659,17.9,1721222803457544558
327357, 2.3,1721222804625032615
327659,17.6,1721222804625032615
327357, 2.1,1721222805792098655
327659,16.4,1721222805792098655
327357, 2.0,1721222806960535902
327659,16.2,1721222806960535902
327357, 1.9,1721222808136531267
327659,16.0,1721222808136531267
327357, 1.8,1721222809305873221
327659,15.9,1721222809305873221
327357, 1.8,1721222810485855261
327659,15.8,1721222810485855261
327357, 1.7,1721222811657910295
327659,15.7,1721222811657910295
327357, 1.6,1721222812827766048
327659,15.1,1721222812827766048
327357, 1.5,1721222813995591287
327659,15.0,1721222813995591287
327357, 1.5,1721222815164240130
327659,14.8,1721222815164240130
327357, 1.4,1721222816357057496
327659,14.8,1721222816357057496
327357, 1.4,1721222817557235276
327659,14.9,1721222817557235276
327357, 1.3,1721222818741345394
327659,14.5,1721222818741345394
327357, 1.2,1721222819913028032
327659,14.7,1721222819913028032
327357, 1.2,1721222821081423805
327659,14.7,1721222821081423805
327357, 1.2,1721222822255688235
327659,14.8,1721222822255688235
327357, 1.1,1721222823446949992
327659,15.0,1721222823446949992
327357, 1.1,1721222824623602960
327659,15.1,1721222824623602960
327357, 1.0,1721222825801168961
327659,14.9,1721222825801168961
327357, 1.0,1721222826976312990
327659,15.0,1721222826976312990
327357, 1.0,1721222828150381879
327659,15.1,1721222828150381879
327357, 1.0,1721222829320914061
327659,15.2,1721222829320914061
327357, 1.0,1721222830495633417
327659,15.3,1721222830495633417
327357, 0.9,1721222831667073482
327659,15.0,1721222831667073482
327357, 0.9,1721222832839022086
327659,15.0,1721222832839022086
327357, 0.9,1721222834022985700
327659,15.0,1721222834022985700
327357, 0.9,1721222835194078478
327659,15.0,1721222835194078478
327357, 0.8,1721222836367201768
327659,14.9,1721222836367201768
327357, 0.8,1721222837539161441
327659,14.9,1721222837539161441
327357, 0.8,1721222838712867440
327659,14.5,1721222838712867440
327357, 0.8,1721222839880088847
327659,14.6,1721222839880088847
327357, 0.8,1721222841065429267
327659,14.6,1721222841065429267
327357, 0.7,1721222842238993478
327659,14.6,1721222842238993478
327357, 0.7,1721222843409291731
327659,14.5,1721222843409291731
327357, 0.7,1721222844576152587
327659,14.5,1721222844576152587
327357, 0.7,1721222845765658818
327659,14.2,1721222845765658818
327357, 0.7,1721222846939557939
327659,14.1,1721222846939557939
327357, 0.7,1721222848113381446
327659,14.2,1721222848113381446
327357, 0.7,1721222849304848227
327659,14.3,1721222849304848227
327357, 0.6,1721222850495367539
327659,14.4,1721222850495367539
327357, 0.6,1721222851675567922
327659,14.2,1721222851675567922
327357, 0.6,1721222852849854962
327659,14.3,1721222852849854962
327357, 0.6,1721222854023495120
327659,14.3,1721222854023495120
327357, 0.6,1721222855204218649
327659,14.4,1721222855204218649
327357, 0.6,1721222856376869218
327659,14.5,1721222856376869218
327357, 0.6,1721222857552531071
327659,14.6,1721222857552531071
327357, 0.6,1721222858738422925
327659,14.4,1721222858738422925
327357, 0.6,1721222859921792066
327659,14.4,1721222859921792066
327357, 0.5,1721222861093497499
327659,14.5,1721222861093497499
327357, 0.5,1721222862268875123
327659,14.5,1721222862268875123
327357, 0.5,1721222863447354482
327659,14.5,1721222863447354482
327357, 0.5,1721222864621645314
327659,14.6,1721222864621645314
327357, 0.5,1721222865800945071
327659,14.4,1721222865800945071
327357, 0.5,1721222866976518723
327659,14.5,1721222866976518723
327357, 0.5,1721222868155326140
327659,14.5,1721222868155326140
327357, 0.5,1721222869332408930
327659,14.5,1721222869332408930
327357, 0.5,1721222870509858963
327659,14.6,1721222870509858963
327357, 0.5,1721222871685961612
327659,14.4,1721222871685961612
327357, 0.5,1721222872859779086
327659,14.5,1721222872859779086
327357, 0.5,1721222874037213318
327659,14.5,1721222874037213318
327357, 0.5,1721222875215042455
327659,14.6,1721222875215042455
327357, 0.4,1721222876394915239
327659,14.6,1721222876394915239
327357, 0.4,1721222877572122140
327659,14.6,1721222877572122140
327357, 0.4,1721222878754292180
327659,14.5,1721222878754292180
327357, 0.4,1721222879930524099
327659,14.6,1721222879930524099
327357, 0.4,1721222881115263037
327659,14.6,1721222881115263037
