pid,cpu,ts
356993, 0.0,1721223250967758800
356993,45.0,1721223252153009035
357221, 0.0,1721223252153009035
356993,22.5,1721223253327439225
357221,27.0,1721223253327439225
356993,15.0,1721223254492095767
357221,24.0,1721223254492095767
356993,11.2,1721223255653773475
357221,23.0,1721223255653773475
356993, 7.5,1721223256817348043
357221,18.2,1721223256817348043
356993, 6.4,1721223257979007036
357221,17.8,1721223257979007036
356993, 5.6,1721223259142183072
357221,17.8,1721223259142183072
356993, 5.0,1721223260306131686
357221,18.3,1721223260306131686
356993, 4.5,1721223261471589198
357221,19.7,1721223261471589198
356993, 4.0,1721223262647612865
357221,20.8,1721223262647612865
356993, 3.4,1721223263832443715
357221,20.0,1721223263832443715
356993, 3.2,1721223265004075501
357221,20.0,1721223265004075501
356993, 3.0,1721223266164789047
357221,19.7,1721223266164789047
356993, 2.8,1721223267326664306
357221,19.4,1721223267326664306
356993, 2.6,1721223268489795706
357221,19.0,1721223268489795706
356993, 2.5,1721223269654824598
357221,18.7,1721223269654824598
356993, 2.2,1721223270818676096
357221,17.3,1721223270818676096
356993, 2.1,1721223271982994215
357221,17.1,1721223271982994215
356993, 2.0,1721223273151940661
357221,17.0,1721223273151940661
356993, 1.9,1721223274314599407
357221,16.9,1721223274314599407
356993, 1.8,1721223275481936044
357221,16.7,1721223275481936044
356993, 1.8,1721223276647603169
357221,16.7,1721223276647603169
356993, 1.6,1721223277813444742
357221,16.0,1721223277813444742
356993, 1.6,1721223278982615901
357221,15.9,1721223278982615901
356993, 1.5,1721223280153969108
357221,15.7,1721223280153969108
356993, 1.5,1721223281320143730
357221,15.7,1721223281320143730
356993, 1.4,1721223282490605263
357221,15.7,1721223282490605263
356993, 1.4,1721223283656960786
357221,15.8,1721223283656960786
356993, 1.3,1721223284823802837
357221,15.4,1721223284823802837
356993, 1.2,1721223285987638824
357221,15.5,1721223285987638824
356993, 1.2,1721223287155405640
357221,15.6,1721223287155405640
356993, 1.2,1721223288324029294
357221,15.7,1721223288324029294
356993, 1.1,1721223289495556237
357221,15.8,1721223289495556237
356993, 1.1,1721223290666661253
357221,15.7,1721223290666661253
356993, 1.0,1721223291832977761
357221,15.8,1721223291832977761
356993, 1.0,1721223293002813031
357221,16.0,1721223293002813031
356993, 1.0,1721223294171772908
357221,16.0,1721223294171772908
356993, 1.0,1721223295350475806
357221,16.1,1721223295350475806
356993, 1.0,1721223296524314721
357221,16.1,1721223296524314721
356993, 0.9,1721223297695006247
357221,15.8,1721223297695006247
356993, 0.9,1721223298860875419
357221,15.8,1721223298860875419
356993, 0.9,1721223300028862298
357221,15.8,1721223300028862298
356993, 0.9,1721223301198922430
357221,15.7,1721223301198922430
356993, 0.8,1721223302367344981
357221,15.7,1721223302367344981
356993, 0.8,1721223303538392227
357221,15.7,1721223303538392227
356993, 0.8,1721223304706176132
357221,15.4,1721223304706176132
356993, 0.8,1721223305871934344
357221,15.4,1721223305871934344
356993, 0.8,1721223307041394182
357221,15.4,1721223307041394182
356993, 0.7,1721223308207726246
357221,15.3,1721223308207726246
356993, 0.7,1721223309373119177
357221,15.3,1721223309373119177
356993, 0.7,1721223310540863978
357221,15.3,1721223310540863978
356993, 0.7,1721223311706153152
357221,15.0,1721223311706153152
356993, 0.7,1721223312876142970
357221,15.0,1721223312876142970
356993, 0.7,1721223314051845241
357221,15.1,1721223314051845241
356993, 0.7,1721223315222719146
357221,15.2,1721223315222719146
356993, 0.6,1721223316388164626
357221,15.2,1721223316388164626
356993, 0.6,1721223317561113538
357221,15.2,1721223317561113538
356993, 0.6,1721223318728628003
357221,15.1,1721223318728628003
356993, 0.6,1721223319901330770
357221,15.1,1721223319901330770
356993, 0.6,1721223321071730450
357221,15.2,1721223321071730450
356993, 0.6,1721223322241482317
357221,15.3,1721223322241482317
356993, 0.6,1721223323411639228
357221,15.4,1721223323411639228
356993, 0.6,1721223324579933814
357221,15.4,1721223324579933814
356993, 0.6,1721223325747298815
357221,15.2,1721223325747298815
356993, 0.5,1721223326935984340
357221,15.3,1721223326935984340
356993, 0.5,1721223328119861489
357221,15.3,1721223328119861489
356993, 0.5,1721223329291699673
357221,15.3,1721223329291699673
356993, 0.5,1721223330460710961
357221,15.4,1721223330460710961
356993, 0.5,1721223331630986835
357221,15.4,1721223331630986835
356993, 0.5,1721223332803062156
357221,15.2,1721223332803062156
356993, 0.5,1721223333975561908
357221,15.3,1721223333975561908
356993, 0.5,1721223335143872592
357221,15.3,1721223335143872592
356993, 0.5,1721223336312290689
357221,15.4,1721223336312290689
356993, 0.5,1721223337482251057
357221,15.4,1721223337482251057
356993, 0.5,1721223338651819084
357221,15.4,1721223338651819084
356993, 0.5,1721223339821175582
357221,15.3,1721223339821175582
356993, 0.5,1721223340989231003
357221,15.4,1721223340989231003
356993, 0.4,1721223342157316181
357221,15.4,1721223342157316181
356993, 0.4,1721223343329771066
357221,15.4,1721223343329771066
356993, 0.4,1721223344498383990
357221,15.5,1721223344498383990
356993, 0.4,1721223345669910282
357221,15.4,1721223345669910282
356993, 0.4,1721223346841158670
357221,15.4,1721223346841158670
356993, 0.4,1721223348009063536
357221,15.4,1721223348009063536
