pid,cpu,ts
326858,14.3,1721222784634575524
327078, 0.5,1721222784634575524
326858, 8.6,1721222785852765592
327078, 0.2,1721222785852765592
326858, 7.1,1721222787065910636
327078, 1.6,1721222787065910636
326858, 6.1,1721222788257583585
327078, 5.5,1721222788257583585
326858, 5.3,1721222789441009065
327078, 6.2,1721222789441009065
326858, 4.7,1721222790623481134
327078, 6.7,1721222790623481134
326858, 3.9,1721222791811558915
327078, 6.5,1721222791811558915
326858, 3.5,1721222792988578190
327078, 6.7,1721222792988578190
326858, 3.3,1721222794162100954
327078, 6.8,1721222794162100954
326858, 3.0,1721222795351341517
327078, 7.2,1721222795351341517
326858, 2.8,1721222796545145405
327078, 7.7,1721222796545145405
326858, 2.5,1721222797726367241
327078, 7.6,1721222797726367241
326858, 2.3,1721222798904950025
327078, 7.9,1721222798904950025
326858, 2.2,1721222800079967056
327078, 7.8,1721222800079967056
326858, 2.1,1721222801255487477
327078, 8.0,1721222801255487477
326858, 2.0,1721222802438329169
327078, 7.9,1721222802438329169
326858, 1.9,1721222803615940987
327078, 7.8,1721222803615940987
326858, 1.7,1721222804790236114
327078, 7.4,1721222804790236114
326858, 1.7,1721222805962094991
327078, 7.4,1721222805962094991
326858, 1.6,1721222807136813716
327078, 7.3,1721222807136813716
326858, 1.5,1721222808313335274
327078, 7.3,1721222808313335274
326858, 1.5,1721222809485236940
327078, 7.2,1721222809485236940
326858, 1.4,1721222810663057729
327078, 7.0,1721222810663057729
326858, 1.3,1721222811838017938
327078, 7.0,1721222811838017938
326858, 1.3,1721222813011103338
327078, 7.0,1721222813011103338
326858, 1.3,1721222814182851823
327078, 7.0,1721222814182851823
326858, 1.2,1721222815357460987
327078, 6.9,1721222815357460987
326858, 1.2,1721222816549079540
327078, 6.9,1721222816549079540
326858, 1.1,1721222817744233767
327078, 6.8,1721222817744233767
326858, 1.1,1721222818926313863
327078, 6.8,1721222818926313863
326858, 1.1,1721222820113519323
327078, 6.9,1721222820113519323
326858, 1.0,1721222821294233489
327078, 6.9,1721222821294233489
326858, 1.0,1721222822471209519
327078, 7.0,1721222822471209519
326858, 1.0,1721222823648504219
327078, 7.0,1721222823648504219
326858, 0.9,1721222824826130735
327078, 6.9,1721222824826130735
326858, 0.9,1721222826006657456
327078, 7.0,1721222826006657456
326858, 0.9,1721222827186028003
327078, 7.0,1721222827186028003
326858, 0.9,1721222828363883740
327078, 7.1,1721222828363883740
326858, 0.8,1721222829543926204
327078, 7.1,1721222829543926204
326858, 0.8,1721222830717716326
327078, 7.0,1721222830717716326
326858, 0.8,1721222831893075719
327078, 7.0,1721222831893075719
326858, 0.8,1721222833067414325
327078, 7.0,1721222833067414325
326858, 0.8,1721222834248376323
327078, 7.0,1721222834248376323
326858, 0.7,1721222835424618311
327078, 7.0,1721222835424618311
326858, 0.7,1721222836598878467
327078, 7.0,1721222836598878467
326858, 0.7,1721222837770867555
327078, 6.8,1721222837770867555
326858, 0.7,1721222838950869850
327078, 6.9,1721222838950869850
326858, 0.7,1721222840124468786
327078, 6.9,1721222840124468786
326858, 0.7,1721222841299763593
327078, 6.9,1721222841299763593
326858, 0.7,1721222842476954499
327078, 6.9,1721222842476954499
326858, 0.6,1721222843652362679
327078, 6.9,1721222843652362679
326858, 0.6,1721222844823525805
327078, 6.8,1721222844823525805
326858, 0.6,1721222845997381504
327078, 6.8,1721222845997381504
326858, 0.6,1721222847168763642
327078, 6.8,1721222847168763642
326858, 0.6,1721222848346802156
327078, 6.8,1721222848346802156
326858, 0.6,1721222849531467257
327078, 6.8,1721222849531467257
326858, 0.6,1721222850723116082
327078, 6.8,1721222850723116082
326858, 0.6,1721222851903440890
327078, 6.8,1721222851903440890
326858, 0.5,1721222853078000204
327078, 6.8,1721222853078000204
326858, 0.5,1721222854260260554
327078, 6.9,1721222854260260554
326858, 0.5,1721222855451222890
327078, 6.9,1721222855451222890
326858, 0.5,1721222856634149808
327078, 6.9,1721222856634149808
326858, 0.5,1721222857811136131
327078, 6.8,1721222857811136131
326858, 0.5,1721222858988759125
327078, 6.9,1721222858988759125
326858, 0.5,1721222860166178465
327078, 6.9,1721222860166178465
326858, 0.5,1721222861344289239
327078, 6.9,1721222861344289239
326858, 0.5,1721222862520745189
327078, 6.9,1721222862520745189
326858, 0.5,1721222863699579347
327078, 6.9,1721222863699579347
326858, 0.5,1721222864875188558
327078, 6.9,1721222864875188558
326858, 0.5,1721222866051272965
327078, 6.9,1721222866051272965
326858, 0.5,1721222867229792338
327078, 6.9,1721222867229792338
326858, 0.4,1721222868403715785
327078, 6.9,1721222868403715785
326858, 0.4,1721222869577237683
327078, 6.9,1721222869577237683
326858, 0.4,1721222870759032247
327078, 6.9,1721222870759032247
326858, 0.4,1721222871939097767
327078, 6.9,1721222871939097767
326858, 0.4,1721222873121186105
327078, 6.9,1721222873121186105
326858, 0.4,1721222874295520765
327078, 6.9,1721222874295520765
326858, 0.4,1721222875475655063
327078, 7.0,1721222875475655063
326858, 0.4,1721222876656257083
327078, 7.0,1721222876656257083
326858, 0.4,1721222877832164572
327078, 6.9,1721222877832164572
326858, 0.4,1721222879005565177
327078, 6.9,1721222879005565177
326858, 0.4,1721222880186477322
327078, 6.9,1721222880186477322
326858, 0.4,1721222881383359111
327078, 7.0,1721222881383359111
326858, 0.4,1721222882577026984
327078, 7.0,1721222882577026984
