pid,cpu,ts
344555,13.3,1721222953703705820
344909, 2.0,1721222953703705820
344555,10.0,1721222954882544722
344909, 1.3,1721222954882544722
344555, 8.0,1721222956071569091
344909, 1.0,1721222956071569091
344555, 6.6,1721222957258019591
344909, 6.4,1721222957258019591
344555, 5.7,1721222958438220232
344909, 7.0,1721222958438220232
344555, 5.0,1721222959616867521
344909, 7.5,1721222959616867521
344555, 4.0,1721222960793676600
344909, 7.2,1721222960793676600
344555, 3.6,1721222961973268771
344909, 7.3,1721222961973268771
344555, 3.3,1721222963150415477
344909, 7.3,1721222963150415477
344555, 3.0,1721222964330601128
344909, 7.6,1721222964330601128
344555, 2.8,1721222965515781557
344909, 7.9,1721222965515781557
344555, 2.5,1721222966696154982
344909, 7.4,1721222966696154982
344555, 2.3,1721222967872571858
344909, 7.5,1721222967872571858
344555, 2.2,1721222969048151563
344909, 7.4,1721222969048151563
344555, 2.1,1721222970228594688
344909, 7.3,1721222970228594688
344555, 2.0,1721222971405429692
344909, 7.3,1721222971405429692
344555, 1.9,1721222972584237941
344909, 7.3,1721222972584237941
344555, 1.7,1721222973766610437
344909, 6.9,1721222973766610437
344555, 1.6,1721222974946001044
344909, 6.8,1721222974946001044
344555, 1.6,1721222976121439830
344909, 6.8,1721222976121439830
344555, 1.5,1721222977299367765
344909, 6.8,1721222977299367765
344555, 1.4,1721222978498374660
344909, 6.8,1721222978498374660
344555, 1.3,1721222979696755703
344909, 6.5,1721222979696755703
344555, 1.3,1721222980886284535
344909, 6.5,1721222980886284535
344555, 1.2,1721222982060471417
344909, 6.6,1721222982060471417
344555, 1.2,1721222983239079935
344909, 6.6,1721222983239079935
344555, 1.2,1721222984415724595
344909, 6.5,1721222984415724595
344555, 1.1,1721222985597727499
344909, 6.6,1721222985597727499
344555, 1.1,1721222986775930921
344909, 6.4,1721222986775930921
344555, 1.0,1721222987955300544
344909, 6.5,1721222987955300544
344555, 1.0,1721222989136404129
344909, 6.5,1721222989136404129
344555, 1.0,1721222990317942155
344909, 6.5,1721222990317942155
344555, 1.0,1721222991504135036
344909, 6.5,1721222991504135036
344555, 0.9,1721222992685228862
344909, 6.4,1721222992685228862
344555, 0.9,1721222993867065209
344909, 6.5,1721222993867065209
344555, 0.9,1721222995049201993
344909, 6.6,1721222995049201993
344555, 0.8,1721222996229067198
344909, 6.6,1721222996229067198
344555, 0.8,1721222997411698325
344909, 6.7,1721222997411698325
344555, 0.8,1721222998591530347
344909, 6.7,1721222998591530347
344555, 0.8,1721222999771636627
344909, 6.6,1721222999771636627
344555, 0.8,1721223000949632482
344909, 6.6,1721223000949632482
344555, 0.7,1721223002132191140
344909, 6.7,1721223002132191140
344555, 0.7,1721223003311470027
344909, 6.6,1721223003311470027
344555, 0.7,1721223004492146841
344909, 6.7,1721223004492146841
344555, 0.7,1721223005672092596
344909, 6.5,1721223005672092596
344555, 0.7,1721223006847705221
344909, 6.5,1721223006847705221
344555, 0.7,1721223008023569761
344909, 6.5,1721223008023569761
344555, 0.6,1721223009203442076
344909, 6.5,1721223009203442076
344555, 0.6,1721223010383489941
344909, 6.5,1721223010383489941
344555, 0.6,1721223011574341771
344909, 6.5,1721223011574341771
344555, 0.6,1721223012773629744
344909, 6.4,1721223012773629744
344555, 0.6,1721223013954027139
344909, 6.4,1721223013954027139
344555, 0.6,1721223015132564092
344909, 6.4,1721223015132564092
344555, 0.6,1721223016313041927
344909, 6.4,1721223016313041927
344555, 0.6,1721223017492763755
344909, 6.4,1721223017492763755
344555, 0.5,1721223018674866898
344909, 6.4,1721223018674866898
344555, 0.5,1721223019854306443
344909, 6.4,1721223019854306443
344555, 0.5,1721223021037673230
344909, 6.4,1721223021037673230
344555, 0.5,1721223022215986338
344909, 6.4,1721223022215986338
344555, 0.5,1721223023394331245
344909, 6.5,1721223023394331245
344555, 0.5,1721223024579754423
344909, 6.5,1721223024579754423
344555, 0.5,1721223025778247151
344909, 6.4,1721223025778247151
344555, 0.5,1721223026967267954
344909, 6.5,1721223026967267954
344555, 0.5,1721223028156521234
344909, 6.5,1721223028156521234
344555, 0.5,1721223029336182576
344909, 6.5,1721223029336182576
344555, 0.5,1721223030514962082
344909, 6.5,1721223030514962082
344555, 0.4,1721223031695233477
344909, 6.4,1721223031695233477
344555, 0.4,1721223032877054502
344909, 6.4,1721223032877054502
344555, 0.4,1721223034055419675
344909, 6.4,1721223034055419675
344555, 0.4,1721223035243333582
344909, 6.4,1721223035243333582
344555, 0.4,1721223036428779207
344909, 6.5,1721223036428779207
344555, 0.4,1721223037607842806
344909, 6.5,1721223037607842806
344555, 0.4,1721223038794001660
344909, 6.4,1721223038794001660
344555, 0.4,1721223039970456502
344909, 6.5,1721223039970456502
344555, 0.4,1721223041151354224
344909, 6.5,1721223041151354224
344555, 0.4,1721223042332313170
344909, 6.5,1721223042332313170
344555, 0.4,1721223043516260046
344909, 6.5,1721223043516260046
344555, 0.4,1721223044699056369
344909, 6.5,1721223044699056369
344555, 0.4,1721223045879099285
344909, 6.5,1721223045879099285
344555, 0.4,1721223047056895169
344909, 6.5,1721223047056895169
344555, 0.4,1721223048237316197
344909, 6.5,1721223048237316197
344555, 0.4,1721223049415512085
344909, 6.5,1721223049415512085
344555, 0.4,1721223050619186317
344909, 6.5,1721223050619186317
344555, 0.3,1721223051801006286
344909, 6.5,1721223051801006286
344555, 0.3,1721223052975354598
344909, 6.5,1721223052975354598
