pid,cpu,ts
360744, 8.8,1721223497459900797
360955, 5.5,1721223497459900797
360744, 7.3,1721223498634166850
360955, 4.4,1721223498634166850
360744, 5.5,1721223499807752467
360955, 3.2,1721223499807752467
360744, 4.8,1721223500977353223
360955,28.3,1721223500977353223
360744, 4.4,1721223502145295198
360955,30.3,1721223502145295198
360744, 4.0,1721223503315274709
360955,32.0,1721223503315274709
360744, 3.6,1721223504479866028
360955,33.1,1721223504479866028
360744, 3.3,1721223505643352993
360955,33.8,1721223505643352993
360744, 2.9,1721223506806310890
360955,31.9,1721223506806310890
360744, 2.7,1721223507979072431
360955,33.2,1721223507979072431
360744, 2.5,1721223509147497066
360955,34.8,1721223509147497066
360744, 2.4,1721223510320171903
360955,36.5,1721223510320171903
360744, 2.3,1721223511489440291
360955,37.8,1721223511489440291
360744, 2.2,1721223512654215787
360955,38.4,1721223512654215787
360744, 2.0,1721223513820288462
360955,36.7,1721223513820288462
360744, 1.9,1721223514983520725
360955,36.8,1721223514983520725
360744, 1.8,1721223516145895850
360955,36.8,1721223516145895850
360744, 1.7,1721223517315601903
360955,36.7,1721223517315601903
360744, 1.6,1721223518484523004
360955,36.8,1721223518484523004
360744, 1.6,1721223519657302668
360955,36.7,1721223519657302668
360744, 1.5,1721223520836866568
360955,35.6,1721223520836866568
360744, 1.4,1721223522020986517
360955,35.8,1721223522020986517
360744, 1.4,1721223523196144220
360955,36.0,1721223523196144220
360744, 1.3,1721223524363592811
360955,36.2,1721223524363592811
360744, 1.3,1721223525525251502
360955,36.5,1721223525525251502
360744, 1.2,1721223526694072383
360955,35.4,1721223526694072383
360744, 1.2,1721223527857762840
360955,35.4,1721223527857762840
360744, 1.1,1721223529021766387
360955,35.5,1721223529021766387
360744, 1.1,1721223530190838191
360955,35.7,1721223530190838191
360744, 1.1,1721223531358366141
360955,35.9,1721223531358366141
360744, 1.1,1721223532531631320
360955,36.2,1721223532531631320
360744, 1.0,1721223533704165389
360955,35.5,1721223533704165389
360744, 1.0,1721223534873733289
360955,35.8,1721223534873733289
360744, 1.0,1721223536041776822
360955,36.1,1721223536041776822
360744, 0.9,1721223537213406743
360955,36.5,1721223537213406743
360744, 0.9,1721223538384739434
360955,36.9,1721223538384739434
360744, 0.9,1721223539554604695
360955,37.2,1721223539554604695
360744, 0.8,1721223540721446919
360955,36.7,1721223540721446919
360744, 0.8,1721223541891868730
360955,37.0,1721223541891868730
360744, 0.8,1721223543068133570
360955,37.1,1721223543068133570
360744, 0.8,1721223544237669759
360955,37.2,1721223544237669759
360744, 0.8,1721223545409243945
360955,37.4,1721223545409243945
360744, 0.8,1721223546575490113
360955,37.5,1721223546575490113
360744, 0.7,1721223547745378687
360955,36.8,1721223547745378687
360744, 0.7,1721223548914150543
360955,36.8,1721223548914150543
360744, 0.7,1721223550079282267
360955,36.7,1721223550079282267
360744, 0.7,1721223551252413461
360955,36.7,1721223551252413461
360744, 0.7,1721223552428101221
360955,36.8,1721223552428101221
360744, 0.7,1721223553610334526
360955,37.0,1721223553610334526
360744, 0.6,1721223554800195648
360955,36.5,1721223554800195648
360744, 0.6,1721223555972197199
360955,36.5,1721223555972197199
360744, 0.6,1721223557141543108
360955,36.6,1721223557141543108
360744, 0.6,1721223558305080242
360955,36.5,1721223558305080242
360744, 0.6,1721223559468952017
360955,36.5,1721223559468952017
360744, 0.6,1721223560635868700
360955,36.6,1721223560635868700
360744, 0.6,1721223561813557887
360955,36.3,1721223561813557887
360744, 0.6,1721223562995632200
360955,36.5,1721223562995632200
360744, 0.6,1721223564161719677
360955,36.6,1721223564161719677
360744, 0.6,1721223565334296874
360955,36.7,1721223565334296874
360744, 0.5,1721223566504158174
360955,36.9,1721223566504158174
360744, 0.5,1721223567675788764
360955,36.5,1721223567675788764
360744, 0.5,1721223568857695501
360955,36.6,1721223568857695501
360744, 0.5,1721223570035730378
360955,36.9,1721223570035730378
360744, 0.5,1721223571206636310
360955,37.0,1721223571206636310
360744, 0.5,1721223572379613090
360955,37.1,1721223572379613090
360744, 0.5,1721223573549909661
360955,37.2,1721223573549909661
360744, 0.5,1721223574720166007
360955,36.8,1721223574720166007
360744, 0.5,1721223575889281739
360955,36.9,1721223575889281739
360744, 0.5,1721223577057857281
360955,37.0,1721223577057857281
360744, 0.5,1721223578224301510
360955,37.1,1721223578224301510
360744, 0.5,1721223579402297714
360955,37.2,1721223579402297714
360744, 0.5,1721223580574975579
360955,37.3,1721223580574975579
360744, 0.4,1721223581750832164
360955,37.0,1721223581750832164
360744, 0.4,1721223582927506303
360955,37.1,1721223582927506303
360744, 0.4,1721223584101932367
360955,37.2,1721223584101932367
360744, 0.4,1721223585279909114
360955,37.3,1721223585279909114
360744, 0.4,1721223586458991578
360955,37.5,1721223586458991578
360744, 0.4,1721223587633962370
360955,37.7,1721223587633962370
360744, 0.4,1721223588807133336
360955,37.4,1721223588807133336
360744, 0.4,1721223589980416442
360955,37.5,1721223589980416442
360744, 0.4,1721223591156494354
360955,37.6,1721223591156494354
360744, 0.4,1721223592328464803
360955,37.7,1721223592328464803
360744, 0.4,1721223593504568724
360955,37.8,1721223593504568724
360744, 0.4,1721223594679647770
360955,37.6,1721223594679647770
